Cboe Global Markets Price to Free Cash Flow Ratio Historical Data,Cboe Global Markets Price to Free Cash Flow Ratio Historical Data,Cboe Global Markets Price to Free Cash Flow Ratio Historical Data,Cboe Global Markets Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2018-09-14,104.2,,24.32
2018-09-30,104.2,$4.28,24.32
2018-06-30,103.75,$4.77,21.74
2018-03-31,113.44,$4.79,23.67
2017-12-31,123.57,$3.13,39.43
2017-09-30,106.51,$1.94,54.95
2017-06-30,90.21,$2.53,35.61
2017-03-31,79.78,$0.92,86.67
2016-12-31,72.49,$2.28,31.86
2016-09-30,63.39,$2.15,29.45
2016-06-30,64.88,$2.52,25.74
2016-03-31,63.4,$2.72,23.34
2015-12-31,62.75,$2.48,25.31
2015-09-30,64.64,$2.81,22.97
2015-06-30,54.94,$2.46,22.29
2015-03-31,54.92,$2.45,22.4
2014-12-31,60.47,$2.49,24.3
2014-09-30,50.86,$2.19,23.18
2014-06-30,46.57,$2.14,21.81
2014-03-31,53.38,$2.10,25.37
2013-12-31,48.84,$2.24,21.79
2013-09-30,41.97,$2.38,17.61
2013-06-30,43.11,$2.37,18.22
2013-03-31,34.02,$2.34,14.55
2012-12-31,27.02,$1.95,13.86
2012-09-30,26.16,$1.68,15.56
2012-06-30,24.5,$1.88,13.02
2012-03-31,25.04,$1.77,14.12
2011-12-31,22.68,$1.93,11.73
2011-09-30,21.37,$2.04,10.48
2011-06-30,21.38,$1.33,16.07
2011-03-31,25.08,$1.95,12.85
