Brown & Brown Price to Free Cash Flow Ratio Historical Data,Brown & Brown Price to Free Cash Flow Ratio Historical Data,Brown & Brown Price to Free Cash Flow Ratio Historical Data,Brown & Brown Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,105.13,,27.69
2024-06-30,89.29,$3.80,23.52
2024-03-31,87.29,$3.54,24.69
2023-12-31,70.79,$3.73,18.98
2023-09-30,69.39,$3.55,19.58
2023-06-30,68.29,$3.32,20.6
2023-03-31,56.86,$3.05,18.65
2022-12-31,56.3,$3.19,17.64
2022-09-30,59.66,$2.69,22.21
2022-06-30,57.45,$2.70,21.31
2022-03-31,71.05,$2.69,26.39
2021-12-31,68.99,$2.81,24.52
2021-09-30,54.34,$2.76,19.71
2021-06-30,51.99,$2.29,22.74
2021-03-31,44.64,$2.76,16.19
2020-12-31,46.21,$2.36,19.55
2020-09-30,44.03,$2.59,16.97
2020-06-30,39.57,$2.68,14.78
2020-03-31,35.08,$2.41,14.55
2019-12-31,38.17,$2.28,16.73
2019-09-30,34.78,$2.19,15.85
2019-06-30,32.24,$1.98,16.33
2019-03-31,28.33,$1.61,17.61
2018-12-31,26.38,$1.93,13.69
2018-09-30,28.23,$1.62,17.41
2018-06-30,26.4,$1.52,17.32
2018-03-31,24.16,$1.46,16.57
2017-12-31,24.36,$1.52,16.03
2017-09-30,22.75,$1.42,15.99
2017-06-30,20.27,$1.54,13.17
2017-03-31,19.57,$1.65,11.9
2016-12-31,20.98,$1.44,14.52
2016-09-30,17.57,$1.45,12.16
2016-06-30,17.4,$1.39,12.56
2016-03-31,16.57,$1.27,13.04
2015-12-31,14.79,$1.33,11.08
2015-09-30,14.22,$1.38,10.32
2015-06-30,15.04,$1.52,9.92
2015-03-31,15.1,$1.27,11.93
2014-12-31,14.96,$1.31,11.44
2014-09-30,14.56,$1.22,11.94
2014-06-30,13.86,$1.16,11.91
2014-03-31,13.84,$1.08,12.82
2013-12-31,14.08,$1.33,10.6
2013-09-30,14.35,$1.17,12.25
2013-06-30,14.38,$1.12,12.78
2013-03-31,14.24,$1.13,12.65
2012-12-31,11.28,$0.74,15.23
2012-09-30,11.51,$0.74,15.54
2012-06-30,12.0,$0.76,15.81
2012-03-31,10.43,$0.72,14.44
2011-12-31,9.89,$0.81,12.19
2011-09-30,7.75,$0.93,8.34
2011-06-30,11.12,$0.87,12.82
2011-03-31,11.15,$0.94,11.83
2010-12-31,10.31,$1.03,10.01
2010-09-30,8.67,$0.90,9.64
2010-06-30,8.18,$0.70,11.69
2010-03-31,7.63,$0.70,10.87
2009-12-31,7.62,$0.77,9.91
