Arcutis Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Arcutis Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Arcutis Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Arcutis Biotherapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.49,,0.0
2024-06-30,9.3,$-1.80,0.0
2024-03-31,9.91,$-2.54,0.0
2023-12-31,3.23,$-3.57,0.0
2023-09-30,5.31,$-4.52,0.0
2023-06-30,9.53,$-5.05,0.0
2023-03-31,11.0,$-5.15,0.0
2022-12-31,14.8,$-4.97,0.0
2022-09-30,19.11,$-4.63,0.0
2022-06-30,21.31,$-4.22,0.0
2022-03-31,19.26,$-3.70,0.0
2021-12-31,20.74,$-3.55,0.0
2021-09-30,23.89,$-3.51,0.0
2021-06-30,27.29,$-3.96,0.0
2021-03-31,28.93,$-4.17,0.0
2020-12-31,28.13,$-4.42,0.0
