Chemed Price to Free Cash Flow Ratio Historical Data,Chemed Price to Free Cash Flow Ratio Historical Data,Chemed Price to Free Cash Flow Ratio Historical Data,Chemed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,612.59,,36.4
2024-06-30,542.11,$16.83,32.21
2024-03-31,641.37,$19.87,32.28
2023-12-31,583.85,$18.03,32.38
2023-09-30,518.54,$17.06,30.4
2023-06-30,540.05,$18.52,29.16
2023-03-31,535.76,$13.91,38.5
2022-12-31,508.18,$16.88,30.1
2022-09-30,434.3,$14.56,29.84
2022-06-30,466.6,$18.45,25.29
2022-03-31,503.18,$16.13,31.19
2021-12-31,525.12,$15.74,33.37
2021-09-30,461.35,$17.04,27.07
2021-06-30,470.28,$17.50,26.87
2021-03-31,455.42,$16.79,27.12
2020-12-31,527.11,$14.40,36.6
2020-09-30,475.05,$17.07,27.83
2020-06-30,445.8,$11.38,39.16
2019-12-31,433.5,$15.02,28.86
2019-09-30,411.77,$21.69,18.98
2019-06-30,355.57,$18.84,18.87
2019-03-31,315.1,$23.35,13.5
2018-12-31,278.63,$22.40,12.44
2020-03-31,427.85,$15.77,27.12
2018-09-30,314.05,$9.00,34.91
2018-06-30,315.94,$7.14,44.27
2018-03-31,267.65,$5.42,49.39
2017-12-31,238.13,$5.87,40.6
2017-09-30,197.74,$8.18,24.18
2017-06-30,199.88,$7.03,28.44
2017-03-31,178.31,$9.50,18.77
2016-12-31,156.33,$5.70,27.45
2016-09-30,137.23,$8.51,16.13
2016-06-30,132.35,$7.57,17.48
2016-03-31,131.28,$6.84,19.18
2015-12-31,144.92,$7.31,19.82
2015-09-30,128.91,$7.40,17.41
2015-06-30,126.42,$5.22,24.22
2015-03-31,114.93,$5.05,22.76
2014-12-31,101.52,$3.74,27.15
2014-09-30,98.66,$1.32,74.94
2014-06-30,89.67,$4.15,21.59
2014-03-31,85.39,$0.46,186.93
2013-12-31,72.97,$3.92,18.62
2013-09-30,67.91,$4.45,15.27
2013-06-30,68.61,$3.91,17.57
2012-12-31,64.65,$4.99,12.95
2012-09-30,65.12,$9.39,6.94
2012-06-30,56.64,$8.78,6.45
2012-03-31,58.57,$9.17,6.39
2011-12-31,47.73,$8.96,5.33
2013-03-31,75.56,$4.16,18.18
2011-09-30,51.08,$4.94,10.34
2011-06-30,60.73,$3.93,15.45
2011-03-31,61.61,$4.49,13.73
2010-12-31,58.61,$2.62,22.36
2010-09-30,52.45,$4.85,10.82
2010-06-30,50.17,$4.88,10.28
2010-03-31,49.83,$5.21,9.57
2009-12-31,43.86,$6.13,7.16
