Koninklijke Philips Price to Free Cash Flow Ratio Historical Data,Koninklijke Philips Price to Free Cash Flow Ratio Historical Data,Koninklijke Philips Price to Free Cash Flow Ratio Historical Data,Koninklijke Philips Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,31.76,,0.0
2024-06-30,25.2,$-1.92,0.0
2023-06-30,20.97,$-1.20,0.0
2023-03-31,16.99,$-1.08,0.0
2022-06-30,19.93,$-0.98,0.0
2021-06-30,44.27,$0.28,159.99
2020-06-30,40.97,$-1.03,0.0
2019-06-30,35.97,$-0.32,0.0
2018-06-30,34.07,$-0.03,0.0
2017-06-30,28.24,$0.41,68.97
2016-12-31,23.51,$1.41,16.71
2016-09-30,22.76,$1.29,17.66
2016-06-30,19.18,$1.03,18.59
2016-03-31,21.19,$0.87,24.27
2015-12-31,18.89,$0.54,35.23
2015-09-30,17.41,$0.31,56.91
2015-06-30,18.9,$0.46,41.08
2015-03-31,20.38,$0.86,23.57
2014-12-31,20.85,$0.88,23.69
2014-09-30,22.8,$1.11,20.48
2014-06-30,22.84,$1.01,22.61
2014-03-31,24.43,$0.44,55.57
2013-12-31,25.69,$0.32,80.68
2013-09-30,22.41,$0.36,62.37
2013-06-30,18.89,$0.82,23.0
2013-03-31,19.81,$0.77,25.8
2012-12-31,17.79,$2.22,8.0
2012-09-30,15.72,$3.46,4.55
2012-06-30,13.18,$2.57,5.13
2012-03-31,12.95,$2.36,5.48
2011-12-31,13.33,$0.35,37.62
2011-09-30,11.42,$0.16,69.31
2011-06-30,16.34,$0.38,42.47
2011-03-31,19.84,$1.24,16.06
2010-12-31,18.93,$2.27,8.32
2010-09-30,19.31,$1.47,13.14
2010-06-30,18.4,$2.93,6.27
2010-03-31,19.74,$2.16,9.13
2009-12-31,17.63,$1.71,10.29
