Dorchester Minerals Price to Free Cash Flow Ratio Historical Data,Dorchester Minerals Price to Free Cash Flow Ratio Historical Data,Dorchester Minerals Price to Free Cash Flow Ratio Historical Data,Dorchester Minerals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,31.85,,9.76
2024-06-30,30.15,$3.26,9.24
2024-03-31,32.19,$3.30,9.75
2023-12-31,29.47,$3.61,8.17
2023-09-30,26.12,$3.52,7.42
2023-06-30,26.36,$3.89,6.78
2023-03-31,25.79,$4.15,6.22
2022-12-31,24.76,$3.91,6.33
2022-09-30,19.85,$3.68,5.39
2022-06-30,18.33,$2.99,6.14
2022-03-31,19.39,$2.47,7.85
2021-12-31,14.38,$2.01,7.14
2021-09-30,13.57,$1.58,8.6
2021-06-30,11.59,$1.37,8.45
2021-03-31,9.21,$1.11,8.3
2020-12-31,7.21,$1.31,5.49
2020-09-30,6.61,$1.44,4.59
2020-06-30,8.01,$1.68,4.76
2020-03-31,5.6,$1.92,2.92
2019-12-31,11.47,$1.95,5.88
2019-09-30,10.67,$2.08,5.12
2019-06-30,10.19,$1.95,5.23
2019-03-31,9.92,$2.03,4.88
2018-12-31,7.72,$1.94,3.99
2018-09-30,10.75,$1.84,5.83
2018-06-30,10.55,$1.69,6.26
2018-03-31,8.06,$1.48,5.43
2017-12-31,7.43,$1.36,5.44
2017-09-30,7.21,$1.18,6.09
2017-06-30,6.78,$1.18,5.76
2017-03-31,7.93,$1.11,7.17
2016-12-31,7.98,$0.92,8.66
2016-09-30,6.89,$0.87,7.9
2016-06-30,6.34,$0.82,7.77
2016-03-31,4.96,$0.72,6.87
2015-12-31,4.22,$0.90,4.67
2015-09-30,6.09,$1.08,5.64
2015-06-30,8.92,$1.35,6.6
2015-03-31,9.36,$1.68,5.58
2014-12-31,10.32,$1.88,5.49
2014-09-30,11.75,$1.99,5.92
2014-06-30,11.96,$1.99,6.01
2014-03-31,10.07,$1.89,5.32
2013-12-31,9.81,$1.84,5.33
2013-09-30,8.85,$1.79,4.95
2013-06-30,8.93,$1.68,5.31
2013-03-31,8.3,$1.74,4.76
2012-12-31,7.13,$1.84,3.88
2012-09-30,7.62,$1.86,4.1
2012-06-30,7.44,$1.97,3.78
2012-03-31,8.7,$1.93,4.51
2011-12-31,7.36,$1.81,4.07
2011-09-30,7.58,$2.22,3.42
2011-06-30,8.45,$2.15,3.92
2011-03-31,9.05,$2.18,4.15
2010-12-31,8.39,$2.05,4.08
2010-06-30,7.54,$1.49,5.06
2010-03-31,6.15,$1.35,4.56
2009-12-31,6.09,$1.29,4.73
2009-09-30,6.39,$2.36,2.71
