NeoGenomics Price to Free Cash Flow Ratio Historical Data,NeoGenomics Price to Free Cash Flow Ratio Historical Data,NeoGenomics Price to Free Cash Flow Ratio Historical Data,NeoGenomics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.5,,0.0
2024-06-30,13.87,$-0.06,0.0
2023-12-31,16.18,$-0.24,0.0
2023-09-30,12.3,$-0.40,0.0
2023-06-30,16.07,$-0.51,0.0
2023-03-31,17.41,$-0.56,0.0
2022-12-31,9.24,$-0.68,0.0
2022-09-30,8.61,$-0.89,0.0
2022-06-30,8.15,$-0.90,0.0
2022-03-31,12.15,$-0.94,0.0
2021-12-31,34.12,$-0.76,0.0
2021-09-30,48.24,$-0.73,0.0
2021-06-30,45.17,$-0.59,0.0
2021-03-31,48.23,$-0.48,0.0
2024-03-31,15.72,$-0.39,0.0
2020-12-31,53.84,$-0.25,0.0
2020-09-30,36.89,$-0.21,0.0
2020-06-30,30.98,$-0.05,0.0
2020-03-31,27.61,$-0.11,0.0
2019-12-31,29.25,$0.03,908.39
2019-09-30,19.12,$0.19,101.59
2019-06-30,21.94,$0.15,148.04
2019-03-31,20.46,$0.24,83.99
2018-12-31,12.61,$0.33,37.89
2018-09-30,15.35,$0.23,67.06
2018-06-30,13.11,$0.23,58.01
2018-03-31,8.16,$0.23,34.84
2017-12-31,8.86,$0.05,161.97
2017-09-30,11.13,$-0.00,0.0
2017-06-30,8.96,$0.03,300.67
2017-03-31,7.89,$0.04,194.81
2016-12-31,8.57,$0.18,47.66
2016-09-30,8.22,$0.24,34.85
2016-06-30,8.04,$0.17,47.57
2016-03-31,6.74,$0.18,38.38
2015-12-31,7.87,$0.07,114.06
2015-09-30,5.73,$0.04,148.06
2015-06-30,5.41,$0.05,105.46
2015-03-31,4.67,$0.07,65.13
2014-12-31,4.17,$0.10,41.12
2014-09-30,5.21,$0.09,60.44
2014-06-30,3.32,$0.07,49.19
2014-03-31,3.47,$0.04,92.29
2013-12-31,3.62,$0.00,0.0
2013-09-30,3.0,$0.02,145.63
2013-06-30,3.98,$-0.04,0.0
2013-03-31,3.93,$-0.07,0.0
2012-12-31,2.48,$-0.06,0.0
2012-09-30,3.01,$-0.05,0.0
2012-06-30,1.7,$-0.01,0.0
2012-03-31,1.69,$-0.01,0.0
2011-12-31,1.4,$-0.02,0.0
2011-09-30,1.05,$-0.03,0.0
2011-06-30,1.3,$-0.05,0.0
2011-03-31,1.37,$-0.07,0.0
2010-12-31,1.3,$-0.08,0.0
2010-09-30,1.09,$-0.12,0.0
2010-06-30,1.27,$-0.11,0.0
2010-03-31,1.4,$-0.11,0.0
2009-12-31,1.5,$-0.07,0.0
