Avadel Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Avadel Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Avadel Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Avadel Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.92,,0.0
2024-06-30,14.06,$-1.30,0.0
2024-03-31,16.89,$-1.45,0.0
2023-12-31,14.12,$-1.60,0.0
2023-09-30,10.3,$-1.38,0.0
2023-06-30,16.48,$-1.17,0.0
2023-03-31,9.16,$-1.08,0.0
2022-12-31,7.16,$-1.18,0.0
2022-09-30,5.01,$-1.59,0.0
2022-06-30,2.44,$-1.84,0.0
2022-03-31,6.83,$-1.64,0.0
2021-12-31,8.08,$-1.32,0.0
2021-09-30,9.8,$-1.03,0.0
2021-06-30,6.73,$-0.90,0.0
2021-03-31,9.04,$-0.87,0.0
2020-12-31,6.68,$-0.89,0.0
2020-09-30,5.04,$-0.73,0.0
2020-06-30,8.08,$-0.70,0.0
2020-03-31,7.94,$-0.74,0.0
2019-12-31,7.55,$-1.02,0.0
2019-09-30,4.16,$-1.44,0.0
2019-06-30,2.89,$-1.79,0.0
2019-03-31,1.44,$-2.32,0.0
2018-12-31,2.58,$-2.22,0.0
2018-09-30,4.39,$-1.92,0.0
2018-06-30,6.13,$-1.43,0.0
2018-03-31,7.29,$-0.67,0.0
2017-12-31,8.2,$0.38,21.31
2017-09-30,10.5,$0.91,11.58
2017-06-30,11.03,$0.84,13.08
2017-03-31,9.68,$0.53,18.27
2016-12-31,10.39,$0.43,24.21
2016-09-30,12.4,$0.75,16.5
2016-06-30,10.74,$1.31,8.18
2016-03-31,11.04,$1.80,6.13
2015-12-31,12.21,$1.90,6.41
2015-09-30,16.31,$2.67,6.12
2015-06-30,21.19,$0.86,24.51
2015-03-31,17.98,$0.37,48.85
2014-12-31,17.13,$-0.31,0.0
2014-09-30,14.31,$-1.82,0.0
2014-06-30,15.0,$-0.47,0.0
2014-03-31,13.4,$-0.58,0.0
2013-12-31,8.05,$-0.80,0.0
2013-09-30,6.56,$-1.52,0.0
2013-06-30,6.14,$-0.97,0.0
2013-03-31,4.3,$-1.07,0.0
2012-12-31,3.03,$-0.95,0.0
2012-09-30,4.09,$-0.17,0.0
2012-06-30,4.4,$-0.78,0.0
2012-03-31,5.13,$-0.47,0.0
2011-12-31,5.21,$-0.49,0.0
2011-09-30,4.17,$-0.32,0.0
2011-06-30,5.35,$-0.47,0.0
2011-03-31,6.01,$-0.40,0.0
2010-12-31,6.84,$-0.36,0.0
2010-09-30,7.24,$-0.59,0.0
2010-06-30,6.96,$-0.32,0.0
2010-03-31,8.57,$-0.21,0.0
2009-12-31,7.4,$0.26,27.96
