Liberty Energy Price to Free Cash Flow Ratio Historical Data,Liberty Energy Price to Free Cash Flow Ratio Historical Data,Liberty Energy Price to Free Cash Flow Ratio Historical Data,Liberty Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.3,,7.84
2024-06-30,20.81,$2.33,8.91
2024-03-31,20.64,$2.18,9.49
2023-12-31,18.01,$2.48,7.25
2023-09-30,18.32,$2.23,8.2
2023-06-30,13.19,$1.89,6.97
2023-03-31,12.59,$1.17,10.78
2022-12-31,15.69,$0.76,20.67
2022-09-30,12.38,$0.07,169.87
2022-06-30,12.46,$-0.45,0.0
2021-12-31,9.47,$-0.22,0.0
2021-09-30,11.85,$0.02,713.64
2021-06-30,13.83,$-0.35,0.0
2021-03-31,11.03,$-0.60,0.0
2020-12-31,10.07,$0.08,120.73
2022-03-31,14.47,$-0.54,0.0
2020-09-30,7.8,$-0.27,0.0
2020-06-30,5.35,$1.24,4.33
2020-03-31,2.63,$0.39,6.73
2019-12-31,10.76,$0.63,16.97
2019-09-30,10.42,$1.25,8.33
2019-06-30,15.49,$0.77,20.09
2019-03-31,14.68,$0.87,16.88
2018-12-31,12.35,$0.81,15.2
