Cathay General Bancorp Price to Free Cash Flow Ratio Historical Data,Cathay General Bancorp Price to Free Cash Flow Ratio Historical Data,Cathay General Bancorp Price to Free Cash Flow Ratio Historical Data,Cathay General Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,46.61,,10.3
2024-06-30,37.43,$4.53,8.27
2024-03-31,37.19,$4.77,7.79
2023-12-31,43.44,$5.23,8.3
2023-09-30,33.56,$5.68,5.91
2023-06-30,30.78,$6.79,4.54
2023-03-31,32.65,$6.74,4.84
2022-12-31,38.29,$6.21,6.16
2022-09-30,35.83,$6.09,5.88
2022-06-30,36.18,$4.46,8.11
2022-03-31,41.01,$4.20,9.77
2021-12-31,39.11,$4.21,9.29
2021-09-30,37.36,$4.07,9.17
2021-06-30,35.25,$3.89,9.06
2021-03-31,36.25,$3.90,9.31
2020-12-31,28.38,$3.94,7.21
2020-09-30,18.91,$4.22,4.48
2020-06-30,22.65,$5.32,4.25
2020-03-31,19.54,$5.45,3.59
2019-12-31,32.08,$5.33,6.02
2019-09-30,29.04,$5.16,5.63
2019-06-30,29.74,$4.37,6.81
2019-03-31,27.83,$4.07,6.83
2018-12-31,27.3,$4.04,6.75
2018-09-30,33.47,$4.46,7.5
2018-06-30,32.52,$3.31,9.83
2018-03-31,31.93,$3.47,9.19
2017-12-31,33.48,$3.10,10.79
2017-09-30,31.74,$2.29,13.84
2017-06-30,29.79,$3.99,7.47
2017-03-31,29.4,$3.55,8.29
2016-12-31,29.52,$3.55,8.31
2016-09-30,23.75,$3.19,7.46
2016-03-31,21.61,$1.95,11.09
2015-12-31,23.74,$2.14,11.11
2015-09-30,22.59,$2.04,11.06
2015-06-30,24.35,$2.07,11.74
2015-03-31,21.25,$1.95,10.91
2014-12-31,19.04,$1.81,10.5
2014-09-30,18.4,$1.52,12.14
2014-06-30,18.89,$1.27,14.92
2014-03-31,18.56,$0.80,23.07
2013-12-31,19.66,$-0.68,0.0
2013-09-30,17.16,$-0.47,0.0
2013-06-30,14.93,$0.82,18.22
2016-06-30,21.64,$1.47,14.74
2012-12-31,14.32,$2.05,6.98
2012-09-30,12.65,$3.26,3.88
2012-06-30,12.09,$2.26,5.35
2012-03-31,12.95,$0.45,29.03
2011-12-31,10.92,$1.44,7.57
2013-03-31,14.76,$0.07,225.3
2011-09-30,8.32,$-0.22,0.0
2011-06-30,11.97,$1.73,6.91
2011-03-31,12.44,$1.55,8.03
2010-12-31,12.18,$2.12,5.74
2010-09-30,8.67,$2.39,3.62
2010-06-30,7.52,$4.35,1.73
2010-03-31,8.45,$7.47,1.13
2009-12-31,5.49,$2.55,2.15
