ConnectOne Bancorp Price to Free Cash Flow Ratio Historical Data,ConnectOne Bancorp Price to Free Cash Flow Ratio Historical Data,ConnectOne Bancorp Price to Free Cash Flow Ratio Historical Data,ConnectOne Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.68,,11.0
2024-06-30,18.74,$2.42,7.73
2024-03-31,19.17,$2.38,8.06
2023-12-31,22.33,$2.19,10.18
2023-09-30,17.23,$3.62,4.76
2023-06-30,15.9,$3.52,4.51
2023-03-31,16.73,$3.62,4.62
2022-12-31,22.76,$4.41,5.16
2022-09-30,21.55,$3.54,6.08
2022-06-30,22.72,$3.79,6.0
2022-03-31,29.58,$4.13,7.16
2021-12-31,30.1,$5.00,6.02
2021-09-30,27.52,$3.34,8.24
2021-06-30,23.9,$3.11,7.69
2021-03-31,23.06,$2.90,7.96
2020-12-31,17.93,$2.02,8.9
2020-09-30,12.69,$2.41,5.26
2020-06-30,14.45,$2.59,5.58
2020-03-31,11.97,$2.45,4.89
2019-12-31,22.82,$1.68,13.61
2019-09-30,19.62,$2.47,7.96
2019-06-30,19.95,$2.04,9.76
2019-03-31,17.27,$2.48,6.97
2018-12-31,16.12,$2.74,5.89
2018-09-30,20.66,$3.96,5.21
2018-06-30,21.6,$4.20,5.14
2018-03-31,24.92,$3.87,6.45
2017-12-31,22.22,$3.99,5.58
2017-09-30,21.16,$2.45,8.62
2017-06-30,19.34,$2.24,8.62
2017-03-31,20.73,$2.08,9.98
2016-12-31,22.12,$1.55,14.3
2016-09-30,15.33,$1.59,9.67
2016-06-30,13.26,$1.59,8.36
2016-03-31,13.75,$1.36,10.14
2015-12-31,15.65,$1.40,11.19
2015-09-30,16.1,$1.68,9.6
2015-06-30,17.89,$0.97,18.4
2015-03-31,16.11,$0.89,18.1
2014-12-31,15.67,$0.99,15.85
2014-09-30,15.65,$0.57,27.24
2014-06-30,15.73,$1.34,11.74
2014-03-31,15.48,$1.22,12.71
2013-12-31,15.22,$1.35,11.25
2013-09-30,11.5,$1.45,7.94
2013-06-30,10.19,$1.33,7.67
2013-03-31,9.94,$1.42,7.0
2012-12-31,9.21,$1.24,7.45
2012-09-30,9.44,$1.01,9.31
2012-06-30,8.87,$1.12,7.89
2012-03-31,7.88,$1.10,7.15
2011-12-31,7.65,$1.09,7.03
2011-09-30,7.54,$1.11,6.78
2011-06-30,8.13,$0.97,8.42
2011-03-31,7.45,$1.02,7.28
2010-12-31,6.31,$1.15,5.46
2010-09-30,5.93,$0.81,7.28
2010-06-30,5.82,$-0.25,0.0
2010-03-31,6.36,$0.62,10.22
2009-12-31,6.8,$0.56,12.2
