Encore Capital Group Inc Price to Free Cash Flow Ratio Historical Data,Encore Capital Group Inc Price to Free Cash Flow Ratio Historical Data,Encore Capital Group Inc Price to Free Cash Flow Ratio Historical Data,Encore Capital Group Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.52,,5.62
2024-06-30,41.73,$8.46,4.93
2024-03-31,45.61,$8.20,5.56
2023-12-31,50.75,$7.64,6.64
2023-09-30,47.76,$6.63,7.21
2023-06-30,48.62,$6.62,7.34
2023-03-31,50.45,$7.23,6.98
2022-12-31,47.94,$7.71,6.22
2022-09-30,45.48,$8.83,5.15
2022-06-30,57.77,$8.52,6.78
2022-03-31,62.73,$9.33,6.72
2021-12-31,62.11,$9.66,6.43
2021-09-30,49.27,$7.62,6.46
2021-06-30,47.39,$6.96,6.81
2021-03-31,40.23,$8.57,4.7
2020-12-31,38.95,$8.78,4.44
2020-09-30,38.59,$11.84,3.26
2020-06-30,34.18,$13.27,2.58
2020-03-31,23.38,$12.18,1.92
2019-12-31,35.36,$9.95,3.55
2019-09-30,33.33,$6.69,4.98
2019-06-30,33.87,$4.32,7.84
2019-03-31,27.23,$4.59,5.94
2018-12-31,23.5,$4.18,5.63
2018-09-30,35.85,$4.08,8.79
2018-06-30,36.6,$4.14,8.84
2018-03-31,45.2,$2.43,18.6
2017-12-31,42.1,$3.62,11.62
2017-09-30,44.3,$3.43,12.91
2017-06-30,40.15,$4.55,8.83
2017-03-31,30.8,$3.48,8.84
2016-12-31,28.65,$3.81,7.52
2016-09-30,22.48,$4.08,5.51
2016-06-30,23.53,$3.43,6.87
2016-03-31,25.74,$3.86,6.66
2015-12-31,29.08,$3.28,8.85
2015-09-30,37.0,$1.97,18.76
2015-06-30,42.74,$3.00,14.23
2015-03-31,41.59,$3.45,12.07
2014-12-31,44.4,$3.22,13.8
2014-09-30,44.31,$4.29,10.33
2014-06-30,45.42,$3.68,12.33
2014-03-31,45.7,$1.79,25.52
2013-12-31,50.26,$2.34,21.47
2013-09-30,45.77,$2.20,20.84
2013-06-30,33.11,$2.18,15.17
2013-03-31,30.1,$3.45,8.71
2012-12-31,30.62,$3.57,8.58
2012-09-30,28.26,$3.48,8.13
2012-06-30,29.62,$3.52,8.41
2012-03-31,22.55,$3.11,7.26
2011-12-31,21.26,$3.08,6.91
2011-09-30,21.85,$3.02,7.23
2011-06-30,30.72,$2.75,11.16
2011-03-31,23.68,$3.04,7.8
2010-12-31,23.45,$2.90,8.09
2010-09-30,18.02,$2.84,6.34
2010-06-30,20.61,$2.97,6.94
2010-03-31,16.45,$3.11,5.28
2009-12-31,17.4,$2.99,5.83
