PennyMac Mortgage Investment Trust Price to Free Cash Flow Ratio Historical Data,PennyMac Mortgage Investment Trust Price to Free Cash Flow Ratio Historical Data,PennyMac Mortgage Investment Trust Price to Free Cash Flow Ratio Historical Data,PennyMac Mortgage Investment Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.09,,5.96
2024-06-30,13.0,$2.36,5.5
2024-03-31,13.49,$20.20,0.67
2023-12-31,13.74,$12.04,1.14
2023-09-30,10.74,$12.74,0.84
2023-06-30,11.34,$9.87,1.15
2023-03-31,10.04,$-10.23,0.0
2022-12-31,10.08,$19.60,0.51
2022-09-30,8.92,$13.03,0.68
2022-06-30,10.14,$18.62,0.54
2022-03-31,12.02,$8.74,1.37
2021-12-31,12.33,$-28.77,0.0
2021-09-30,13.33,$-27.81,0.0
2021-06-30,13.93,$-48.28,0.0
2021-03-31,12.66,$-29.34,0.0
2020-12-31,11.36,$6.76,1.68
2020-09-30,9.87,$-1.80,0.0
2020-06-30,10.53,$3.54,2.97
2020-03-31,6.23,$-18.21,0.0
2019-12-31,13.07,$-33.18,0.0
2019-09-30,12.5,$-20.97,0.0
2019-06-30,12.02,$-10.03,0.0
2019-03-31,11.15,$-6.85,0.0
2018-12-31,10.03,$-6.84,0.0
2018-09-30,10.37,$-11.46,0.0
2018-06-30,9.5,$-7.55,0.0
2018-03-31,8.78,$1.35,6.53
2017-12-31,7.83,$5.23,1.5
2017-09-30,8.01,$9.35,0.86
2017-06-30,8.21,$0.78,10.57
2017-03-31,7.76,$0.73,10.63
2016-12-31,7.16,$-5.02,0.0
2016-09-30,6.41,$-11.26,0.0
2016-06-30,6.49,$10.26,0.63
2016-03-31,5.26,$2.05,2.56
2015-12-31,5.89,$-7.47,0.0
2015-09-30,5.62,$-3.30,0.0
2015-06-30,6.12,$-14.66,0.0
2015-03-31,7.26,$-13.14,0.0
2014-12-31,7.19,$-2.18,0.0
2014-09-30,6.9,$-0.27,0.0
2014-06-30,6.88,$-1.83,0.0
2014-03-31,7.31,$3.84,1.9
2013-12-31,6.85,$-1.75,0.0
2013-09-30,6.59,$-9.08,0.0
2013-06-30,5.96,$-16.22,0.0
2013-03-31,7.16,$-22.16,0.0
2012-12-31,6.83,$-15.59,0.0
2012-09-30,6.01,$-18.09,0.0
2012-06-30,4.95,$-12.96,0.0
2012-03-31,4.55,$-4.85,0.0
2011-12-31,3.93,$-8.27,0.0
2011-09-30,3.65,$-0.30,0.0
2011-06-30,3.69,$0.00,0.0
2011-03-31,4.0,$-0.76,0.0
2010-12-31,3.86,$-0.27,0.0
2010-09-30,3.72,$-1.19,0.0
2010-06-30,3.24,$-0.75,0.0
