Kenon Holdings Price to Free Cash Flow Ratio Historical Data,Kenon Holdings Price to Free Cash Flow Ratio Historical Data,Kenon Holdings Price to Free Cash Flow Ratio Historical Data,Kenon Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.98,,0.0
2024-06-30,24.55,$-2.92,0.0
2024-03-31,22.85,$-0.55,0.0
2023-12-31,20.86,$-1.04,0.0
2023-09-30,19.46,$0.94,20.8
2023-06-30,19.91,$2.66,7.49
2023-03-31,22.95,$9.87,2.33
2022-12-31,25.76,$9.10,2.83
2022-09-30,26.75,$9.90,2.7
2022-06-30,31.09,$8.31,3.74
2022-03-31,53.01,$-0.64,0.0
2021-12-31,38.29,$0.17,221.98
2021-09-30,30.22,$-0.61,0.0
2021-06-30,24.0,$-0.27,0.0
2021-03-31,20.06,$-0.09,0.0
2020-12-31,19.79,$-0.07,0.0
2020-09-30,13.69,$0.98,13.94
2020-03-31,8.54,$0.02,382.75
2019-12-31,12.61,$0.95,13.25
2019-09-30,11.26,$3.79,2.97
2019-06-30,12.18,$3.06,3.98
2019-03-31,10.98,$0.47,23.53
2018-12-31,8.36,$1.14,7.33
2018-09-30,8.75,$-1.62,0.0
2018-03-31,8.23,$-0.83,0.0
2017-12-31,6.62,$3.15,2.1
2017-09-30,4.85,$1.77,2.75
2017-06-30,4.13,$2.74,1.51
2017-03-31,3.54,$0.97,3.65
2016-12-31,3.56,$-2.20,0.0
2016-09-30,3.45,$-3.05,0.0
2016-06-30,3.12,$-2.44,0.0
2016-03-31,2.43,$-4.46,0.0
2015-12-31,3.06,$-4.20,0.0
2015-09-30,4.03,$-6.39,0.0
2015-06-30,4.75,$-7.47,0.0
