Signet Jewelers Price to Free Cash Flow Ratio Historical Data,Signet Jewelers Price to Free Cash Flow Ratio Historical Data,Signet Jewelers Price to Free Cash Flow Ratio Historical Data,Signet Jewelers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,100.79,,10.32
2024-07-31,84.13,$9.77,8.62
2024-04-30,97.69,$11.24,8.69
2024-01-31,98.85,$7.80,12.67
2023-10-31,69.23,$10.35,6.69
2023-07-31,79.53,$9.01,8.82
2023-04-30,72.48,$7.32,9.9
2023-01-31,75.43,$11.62,6.49
2022-10-31,63.9,$5.90,10.82
2022-07-31,59.53,$7.99,7.45
2022-04-30,68.32,$12.28,5.56
2022-01-31,83.6,$17.90,4.67
2021-10-31,86.37,$21.01,4.11
2021-07-31,62.19,$29.08,2.14
2021-04-30,57.6,$27.51,2.09
2021-01-31,39.16,$24.79,1.58
2020-10-31,21.48,$18.35,1.17
2020-07-31,10.35,$6.89,1.5
2020-04-30,9.7,$6.24,1.55
2020-01-31,23.43,$8.11,2.89
2019-10-31,15.25,$6.39,2.39
2019-07-31,16.5,$7.01,2.35
2019-04-30,20.74,$-12.42,0.0
2019-01-31,21.8,$-11.49,0.0
2018-10-31,49.09,$0.07,731.61
2018-07-31,50.26,$7.16,7.02
2018-01-31,45.32,$24.40,1.86
2017-10-31,56.18,$27.09,2.07
2017-07-31,52.15,$9.53,5.47
2017-04-30,55.86,$4.78,11.69
2017-01-31,65.6,$6.51,10.08
2018-04-30,33.51,$2.28,14.72
2016-10-31,68.41,$6.00,11.4
2016-07-31,73.78,$4.02,18.36
2016-04-30,90.84,$3.37,26.92
2016-01-31,96.84,$2.72,35.6
2015-10-31,125.77,$2.12,59.34
2015-07-31,100.86,$1.01,99.84
2015-04-30,111.4,$0.06,1937.31
2015-01-31,100.42,$2.39,42.07
2014-10-31,99.36,$-2.43,0.0
2014-07-31,84.15,$0.90,93.35
2014-01-31,65.53,$1.03,63.87
2013-10-31,61.39,$-0.01,0.0
2013-07-31,59.99,$2.22,27.07
2013-04-30,56.16,$1.67,33.64
2013-01-31,51.13,$1.97,25.97
2014-04-30,83.61,$0.56,150.2
2012-10-31,42.21,$2.14,19.73
2012-07-31,35.73,$2.30,15.55
2012-04-30,39.57,$2.79,14.17
2012-01-31,36.89,$3.89,9.49
2011-10-31,34.81,$0.72,48.12
2011-04-30,35.25,$2.08,16.97
2011-01-31,34.22,$3.10,11.05
2010-10-31,28.34,$5.56,5.09
2010-07-31,23.98,$4.54,5.28
2010-04-30,25.8,$4.31,5.98
2010-01-31,22.04,$3.27,6.74
2011-07-31,34.52,$1.77,19.55
2009-10-31,20.31,$4.52,4.5
