Warner Bros Discovery Price to Free Cash Flow Ratio Historical Data,Warner Bros Discovery Price to Free Cash Flow Ratio Historical Data,Warner Bros Discovery Price to Free Cash Flow Ratio Historical Data,Warner Bros Discovery Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,7.84,,2.84
2024-06-30,7.44,$2.76,2.69
2024-03-31,8.73,$3.07,2.84
2023-12-31,11.38,$2.53,4.5
2023-09-30,10.86,$2.54,4.28
2023-06-30,12.54,$1.59,7.91
2023-03-31,15.1,$0.97,15.58
2022-12-31,9.48,$1.71,5.54
2022-09-30,11.5,$1.52,7.56
2022-06-30,13.42,$2.69,4.99
2022-03-31,24.92,$3.74,6.66
2021-12-31,23.54,$3.65,6.45
2021-09-30,25.38,$3.13,8.11
2021-06-30,30.68,$3.24,9.46
2021-03-31,43.46,$3.41,12.74
2020-12-31,30.09,$3.48,8.65
2020-09-30,21.77,$4.42,4.92
2020-06-30,21.1,$4.49,4.7
2020-03-31,19.44,$4.01,4.84
2019-12-31,32.74,$4.37,7.48
2019-09-30,26.63,$4.05,6.58
2019-06-30,30.7,$4.17,7.37
2019-03-31,27.02,$4.04,6.68
2018-12-31,24.74,$3.53,7.01
2018-09-30,32.0,$2.99,10.71
2018-06-30,27.5,$2.85,9.64
2018-03-31,21.43,$2.42,8.84
2017-12-31,22.38,$2.59,8.63
2017-09-30,21.29,$2.71,7.85
2017-06-30,25.83,$2.19,11.82
2017-03-31,29.09,$2.40,12.14
2016-12-31,27.41,$2.12,12.94
2016-09-30,26.92,$2.20,12.21
2016-06-30,25.23,$1.86,13.59
2016-03-31,28.63,$1.85,15.5
2015-12-31,26.68,$1.82,14.7
2015-09-30,26.01,$1.44,18.05
2015-06-30,33.26,$1.67,19.96
2015-03-31,30.76,$1.48,20.72
2014-12-31,34.45,$1.74,19.76
2014-09-30,37.8,$1.62,23.37
2014-06-30,37.14,$1.07,34.57
2014-03-31,41.35,$1.64,25.26
2013-12-31,45.21,$1.62,27.9
2013-09-30,42.21,$0.62,68.12
2013-06-30,38.62,$1.54,25.05
2013-03-31,39.37,$1.05,37.48
2012-12-31,31.74,$1.35,23.57
2012-09-30,29.8,$2.70,11.05
2012-06-30,27.0,$2.54,10.64
2012-03-31,25.3,$2.66,9.52
2011-12-31,20.49,$2.57,7.96
2011-09-30,18.81,$2.27,8.29
2011-06-30,20.48,$2.27,9.04
2011-03-31,19.95,$0.56,35.67
2010-12-31,20.85,$0.64,32.6
2010-09-30,21.78,$0.25,88.55
2010-06-30,17.86,$-0.15,0.0
2009-12-31,15.34,$1.38,11.1
2009-09-30,14.45,$1.07,13.51
