Broadstone Net Lease Price to Free Cash Flow Ratio Historical Data,Broadstone Net Lease Price to Free Cash Flow Ratio Historical Data,Broadstone Net Lease Price to Free Cash Flow Ratio Historical Data,Broadstone Net Lease Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.61,,14.56
2024-06-30,15.87,$1.28,12.42
2024-03-31,15.67,$2.38,6.58
2023-12-31,17.22,$1.50,11.45
2023-09-30,14.3,$0.23,63.13
2023-06-30,15.44,$-1.04,0.0
2023-03-31,17.01,$-1.97,0.0
2022-12-31,16.21,$-3.35,0.0
2022-09-30,15.53,$-2.65,0.0
2022-06-30,20.15,$-4.41,0.0
2022-03-31,21.13,$-2.81,0.0
2021-12-31,23.79,$-2.06,0.0
2021-09-30,23.52,$-1.85,0.0
2021-06-30,21.97,$2.04,10.76
