OUTFRONT Media Price to Free Cash Flow Ratio Historical Data,OUTFRONT Media Price to Free Cash Flow Ratio Historical Data,OUTFRONT Media Price to Free Cash Flow Ratio Historical Data,OUTFRONT Media Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.09,,17.42
2024-06-30,14.04,$1.10,12.81
2024-03-31,16.48,$1.17,14.1
2023-12-31,13.42,$1.02,13.22
2023-09-30,9.48,$0.88,10.82
2023-06-30,14.37,$0.91,15.72
2023-03-31,14.53,$0.91,15.94
2022-12-31,14.59,$1.02,14.37
2022-09-30,13.15,$0.80,16.4
2022-06-30,14.42,$0.61,23.53
2022-03-31,23.84,$0.33,71.31
2021-12-31,22.24,$0.17,129.98
2021-09-30,20.81,$0.26,81.24
2021-06-30,19.77,$0.32,61.32
2021-03-31,17.96,$0.42,43.0
2020-12-31,16.09,$0.53,30.12
2020-09-30,11.97,$0.94,12.73
2020-06-30,11.66,$1.13,10.33
2020-03-31,11.09,$1.12,9.92
2019-12-31,21.73,$1.31,16.64
2019-09-30,22.19,$1.08,20.47
2019-06-30,20.33,$1.10,18.55
2019-03-31,18.19,$0.79,23.17
2018-12-31,13.86,$0.95,14.66
2018-09-30,15.0,$0.94,16.01
2018-06-30,14.37,$1.18,12.21
2018-03-31,13.6,$1.50,9.07
2017-12-31,16.52,$1.29,12.86
2017-09-30,17.66,$1.41,12.56
2017-06-30,15.95,$1.37,11.64
2017-03-31,18.02,$1.62,11.15
2016-12-31,16.66,$1.65,10.12
2016-09-30,15.63,$1.86,8.42
2016-06-30,15.73,$1.91,8.25
2016-03-31,13.53,$1.90,7.13
2015-12-31,13.77,$1.70,8.09
2015-09-30,12.92,$1.53,8.44
2015-06-30,15.44,$1.69,9.16
2015-03-31,18.08,$1.76,10.28
2014-12-31,16.0,$1.73,9.25
