Photronics Price to Free Cash Flow Ratio Historical Data,Photronics Price to Free Cash Flow Ratio Historical Data,Photronics Price to Free Cash Flow Ratio Historical Data,Photronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.8,,9.26
2024-07-31,25.41,$2.57,9.88
2024-04-30,27.41,$2.80,9.79
2024-01-31,29.22,$2.79,10.46
2023-10-31,18.36,$2.77,6.64
2023-07-31,26.45,$2.10,12.57
2023-04-30,14.46,$2.39,6.06
2023-01-31,18.12,$1.95,9.29
2022-10-31,16.22,$2.66,6.09
2022-07-31,23.81,$2.77,8.58
2022-04-30,14.99,$2.04,7.36
2022-01-31,17.88,$1.19,15.04
2021-10-31,12.99,$0.67,19.32
2021-07-31,13.37,$0.80,16.63
2021-04-30,12.7,$0.38,33.25
2021-01-31,11.1,$0.99,11.25
2020-10-31,9.75,$1.10,8.84
2020-07-31,11.88,$1.10,10.81
2020-04-30,11.95,$0.91,13.16
2020-01-31,12.78,$0.55,23.35
2019-10-31,11.8,$-1.59,0.0
2019-07-31,9.63,$-1.85,0.0
2019-04-30,9.34,$-1.43,0.0
2019-01-31,10.69,$-1.66,0.0
2018-10-31,9.74,$0.51,19.19
2018-07-31,9.0,$-0.13,0.0
2018-04-30,7.65,$-0.48,0.0
2018-01-31,8.4,$0.04,212.66
2017-10-31,9.7,$0.07,137.98
2017-07-31,10.05,$0.82,12.24
2017-04-30,11.5,$1.03,11.22
2017-01-31,11.5,$0.98,11.69
2016-10-31,9.7,$0.94,10.29
2016-07-31,9.66,$0.85,11.37
2016-04-30,10.58,$0.89,11.89
2016-01-31,11.94,$0.92,13.01
2015-10-31,9.59,$0.37,25.78
2015-07-31,8.25,$0.17,48.16
2015-04-30,8.77,$-0.02,0.0
2015-01-31,8.4,$-0.22,0.0
2014-10-31,8.99,$0.08,113.65
2014-07-31,7.97,$0.33,24.24
2014-04-30,8.68,$0.48,18.08
2014-01-31,8.3,$0.56,14.84
2013-10-31,8.4,$0.58,14.53
2013-07-31,7.65,$0.57,13.46
2013-04-30,7.89,$0.60,13.16
2013-01-31,5.99,$0.26,23.46
2012-10-31,4.89,$0.47,10.51
2012-07-31,5.85,$0.54,10.77
2012-04-30,6.19,$0.42,14.78
2012-01-31,6.86,$0.85,8.04
2011-10-31,6.27,$0.93,6.73
2011-07-31,7.48,$0.42,17.8
2011-04-30,8.73,$0.78,11.26
2011-01-31,6.59,$0.92,7.14
2010-10-31,6.29,$0.57,11.06
2010-07-31,4.52,$1.33,3.41
2010-04-30,5.45,$0.96,5.66
2010-01-31,3.85,$0.97,3.98
2009-10-31,4.18,$0.87,4.82
