CNH Industrial Price to Free Cash Flow Ratio Historical Data,CNH Industrial Price to Free Cash Flow Ratio Historical Data,CNH Industrial Price to Free Cash Flow Ratio Historical Data,CNH Industrial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.1,,668.67
2024-06-30,10.13,$0.02,610.24
2024-03-31,12.45,$-0.40,0.0
2023-12-31,11.7,$-0.20,0.0
2023-09-30,11.63,$-0.20,0.0
2023-06-30,13.84,$-0.08,0.0
2023-03-31,14.27,$-0.13,0.0
2022-12-31,15.01,$-0.25,0.0
2022-09-30,10.44,$0.32,32.48
2022-06-30,10.83,$0.95,11.44
2022-03-31,14.54,$1.55,9.38
2021-12-31,17.81,$3.74,4.77
2021-06-30,15.33,$3.70,4.14
2021-03-31,14.21,$3.60,3.95
2020-12-31,11.67,$2.73,4.28
2020-09-30,7.11,$2.30,3.09
2020-06-30,6.39,$0.85,7.48
2020-03-31,5.1,$0.14,35.86
2019-12-31,10.0,$-0.06,0.0
2019-09-30,9.22,$-0.52,0.0
2019-06-30,9.34,$-0.46,0.0
2019-03-31,9.1,$-0.02,0.0
2018-12-31,8.22,$0.48,16.97
2018-09-30,10.72,$-0.56,0.0
2018-06-30,9.4,$0.64,14.59
2018-03-31,10.91,$0.42,25.85
2017-12-31,11.79,$0.80,14.68
2021-09-30,15.23,$1.00,15.26
2017-09-30,10.57,$-0.50,0.0
2017-06-30,10.02,$-0.42,0.0
2017-03-31,8.39,$-0.33,0.0
2016-12-31,7.56,$-0.17,0.0
2016-09-30,6.28,$0.99,6.38
2016-06-30,6.22,$0.94,6.63
2016-03-31,5.76,$1.24,4.65
2015-12-31,5.83,$0.74,7.85
2015-09-30,5.56,$1.95,2.85
2015-06-30,7.91,$1.71,4.63
2015-03-31,6.79,$1.18,5.74
2014-12-31,6.7,$0.50,13.34
2014-09-30,6.6,$-0.91,0.0
2014-06-30,8.5,$-1.43,0.0
