Helmerich & Payne Price to Free Cash Flow Ratio Historical Data,Helmerich & Payne Price to Free Cash Flow Ratio Historical Data,Helmerich & Payne Price to Free Cash Flow Ratio Historical Data,Helmerich & Payne Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.85,,13.22
2024-06-30,35.7,$2.64,13.54
2024-03-31,41.1,$3.95,10.4
2023-12-31,35.0,$4.31,8.11
2023-09-30,40.3,$4.94,8.15
2023-06-30,33.48,$4.41,7.59
2023-03-31,33.26,$2.65,12.56
2022-12-31,45.64,$1.64,27.89
2022-09-30,33.72,$0.22,151.75
2022-06-30,39.03,$0.84,46.64
2022-03-31,38.56,$0.74,51.79
2021-12-31,21.2,$1.68,12.63
2021-09-30,24.27,$1.71,14.2
2021-06-30,28.62,$1.72,16.66
2021-03-31,23.45,$3.29,7.12
2020-12-31,19.96,$3.45,5.79
2020-09-30,12.44,$4.41,2.82
2020-06-30,16.35,$4.75,3.44
2020-03-31,12.61,$4.66,2.71
2019-12-31,36.0,$4.59,7.84
2019-09-30,31.21,$4.10,7.61
2019-06-30,38.78,$3.20,12.11
2019-03-31,42.05,$1.87,22.47
2018-12-31,35.82,$1.50,23.9
2018-09-30,50.81,$1.24,40.97
2018-06-30,46.57,$1.07,43.69
2018-03-31,48.16,$0.39,122.19
2017-12-31,46.26,$0.00,0.0
2017-09-30,36.85,$-0.03,0.0
2017-06-30,37.82,$0.64,59.31
2017-03-31,45.77,$1.73,26.38
2016-12-31,52.67,$2.90,18.14
2016-09-30,45.29,$4.81,9.42
2016-06-30,44.68,$4.90,9.11
2016-03-31,38.63,$5.31,7.28
2015-12-31,34.72,$4.51,7.7
2015-09-30,30.28,$2.95,10.28
2015-06-30,44.63,$1.92,23.24
2015-03-31,42.75,$0.71,60.45
2014-12-31,41.9,$0.60,70.07
2014-09-30,60.34,$1.90,31.71
2014-06-30,71.11,$2.28,31.18
2014-03-31,65.5,$3.14,20.87
2013-12-31,50.84,$2.38,21.36
2013-09-30,41.42,$2.00,20.67
2013-06-30,37.24,$2.19,16.99
2013-03-31,36.11,$0.40,90.79
2012-12-31,33.24,$0.77,43.03
2012-09-30,28.21,$-0.53,0.0
2012-06-30,25.73,$-0.40,0.0
2012-03-31,31.88,$0.91,34.88
2011-12-31,34.44,$1.60,21.56
2011-09-30,23.93,$2.85,8.38
2011-06-30,38.92,$2.26,17.2
2011-03-31,40.39,$2.18,18.51
2010-12-31,28.48,$1.91,14.89
2010-09-30,23.74,$1.31,18.14
2010-06-30,21.39,$1.30,16.43
2010-03-31,22.28,$1.35,16.44
2009-12-31,23.3,$0.81,28.61
