Northwest Bancshares Price to Free Cash Flow Ratio Historical Data,Northwest Bancshares Price to Free Cash Flow Ratio Historical Data,Northwest Bancshares Price to Free Cash Flow Ratio Historical Data,Northwest Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.81,,12.34
2024-06-30,11.38,$1.12,10.17
2024-03-31,11.26,$0.93,12.11
2023-12-31,11.87,$0.66,17.88
2023-09-30,9.54,$0.85,11.22
2023-06-30,9.73,$1.53,6.36
2023-03-31,10.83,$1.77,6.12
2022-12-31,12.42,$1.35,9.19
2022-09-30,11.84,$1.29,9.19
2022-06-30,11.06,$0.89,12.42
2022-03-31,11.49,$0.77,14.96
2021-12-31,11.87,$1.48,8.02
2021-09-30,10.97,$0.99,11.06
2021-06-30,11.1,$1.23,9.02
2021-03-31,11.59,$1.16,9.97
2020-12-31,10.07,$1.07,9.45
2020-09-30,7.14,$1.27,5.6
2020-06-30,7.79,$1.05,7.42
2020-03-31,8.65,$1.29,6.71
2019-12-31,12.28,$1.10,11.15
2019-09-30,11.98,$1.25,9.55
2019-06-30,12.74,$1.36,9.35
2019-03-31,12.15,$1.23,9.91
2018-12-31,12.0,$1.29,9.3
2018-09-30,12.14,$1.32,9.2
2018-06-30,12.08,$1.37,8.79
2018-03-31,11.39,$1.35,8.41
2017-12-31,11.39,$1.44,7.89
2017-09-30,11.64,$1.62,7.19
2017-06-30,10.42,$1.63,6.39
2017-03-31,11.13,$1.38,8.08
2016-12-31,11.81,$1.20,9.86
2016-09-30,10.19,$0.90,11.29
2016-06-30,9.52,$0.81,11.83
2016-03-31,8.58,$1.00,8.58
2015-12-31,8.4,$1.05,7.96
2015-09-30,8.07,$0.97,8.28
2015-06-30,7.87,$0.90,8.74
2015-03-31,7.19,$0.90,7.99
2014-12-31,7.52,$0.87,8.61
2014-09-30,7.18,$0.97,7.44
2014-06-30,7.97,$0.93,8.59
2014-03-31,7.91,$1.04,7.62
2013-12-31,7.88,$1.21,6.5
2013-09-30,6.98,$1.29,5.42
2013-06-30,7.07,$1.37,5.16
2013-03-31,6.51,$1.35,4.81
2012-12-31,6.23,$1.15,5.39
2012-09-30,6.15,$0.80,7.69
2012-06-30,5.83,$0.92,6.36
2012-03-31,6.26,$0.91,6.84
2011-12-31,6.07,$1.06,5.73
2011-09-30,5.76,$1.48,3.89
2011-06-30,6.03,$0.85,7.06
2011-03-31,5.96,$0.70,8.46
2010-12-31,5.55,$0.50,11.12
2010-09-30,5.22,$0.07,73.15
2010-06-30,5.31,$0.46,11.67
2010-03-31,5.39,$0.66,8.17
2009-12-31,5.13,$0.53,9.66
