First Bancshares Price to Free Cash Flow Ratio Historical Data,First Bancshares Price to Free Cash Flow Ratio Historical Data,First Bancshares Price to Free Cash Flow Ratio Historical Data,First Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.96,,10.26
2024-06-30,25.78,$3.31,7.79
2024-03-31,25.49,$3.53,7.22
2023-12-31,28.52,$3.37,8.47
2023-09-30,25.98,$3.14,8.28
2023-06-30,24.72,$2.52,9.82
2023-03-31,24.5,$2.48,9.88
2022-12-31,30.16,$3.39,8.89
2022-09-30,27.97,$3.62,7.72
2022-06-30,26.61,$3.52,7.56
2022-03-31,31.14,$3.73,8.35
2021-12-31,35.57,$4.19,8.5
2021-09-30,35.58,$4.17,8.54
2021-06-30,34.22,$3.86,8.85
2021-03-31,33.35,$3.15,10.57
2020-12-31,28.02,$2.31,12.1
2020-09-30,18.94,$2.08,9.09
2020-06-30,20.23,$2.53,7.99
2020-03-31,17.06,$2.42,7.04
2019-12-31,31.69,$2.15,14.77
2019-09-30,28.75,$2.12,13.54
2019-06-30,26.94,$2.14,12.58
2019-03-31,27.36,$2.81,9.74
2018-12-31,26.73,$2.10,12.75
2018-09-30,34.46,$1.98,17.37
2018-06-30,31.68,$1.97,16.12
2018-03-31,28.38,$1.33,21.29
2017-12-31,30.05,$1.77,16.98
2017-09-30,26.46,$1.85,14.33
2017-06-30,24.19,$1.13,21.33
2017-03-31,24.95,$0.67,37.11
2016-12-31,24.04,$0.85,28.34
2016-09-30,16.67,$0.24,69.18
2016-06-30,15.04,$1.03,14.66
2016-03-31,13.58,$1.19,11.38
2015-12-31,15.9,$1.34,11.91
2015-09-30,15.11,$1.05,14.41
2015-06-30,14.37,$0.95,15.14
2015-03-31,14.0,$0.88,15.98
2014-12-31,12.46,$1.17,10.69
2014-09-30,12.38,$2.41,5.13
2014-06-30,12.14,$2.48,4.89
2014-03-31,12.35,$2.98,4.15
2013-12-31,11.92,$3.94,3.02
2013-09-30,11.87,$4.08,2.91
2013-06-30,10.91,$3.72,2.93
2013-03-31,9.83,$3.34,2.94
2012-12-31,7.91,$3.13,2.53
2012-09-30,7.95,$2.86,2.78
2012-06-30,7.68,$3.02,2.54
2012-03-31,7.68,$2.91,2.64
2011-12-31,6.3,$1.87,3.36
2011-09-30,7.05,$3.54,1.99
2011-06-30,8.14,$3.31,2.46
2011-03-31,7.02,$2.75,2.55
2010-12-31,6.91,$2.87,2.41
2010-09-30,8.11,$0.26,31.43
2010-06-30,5.94,$0.64,9.23
2010-03-31,7.61,$2.14,3.56
2009-12-31,5.61,$1.90,2.96
