Bank Of Hawaii Price to Free Cash Flow Ratio Historical Data,Bank Of Hawaii Price to Free Cash Flow Ratio Historical Data,Bank Of Hawaii Price to Free Cash Flow Ratio Historical Data,Bank Of Hawaii Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,68.18,,10.29
2024-06-30,56.61,$6.62,8.55
2024-03-31,61.74,$5.77,10.69
2023-12-31,70.86,$3.57,19.84
2023-09-30,48.01,$4.53,10.61
2023-06-30,39.32,$3.38,11.62
2023-03-31,48.81,$5.90,8.27
2022-12-31,72.02,$7.65,9.42
2022-09-30,70.07,$6.89,10.16
2022-06-30,67.87,$7.64,8.88
2022-03-31,75.89,$5.56,13.66
2021-12-31,75.14,$9.11,8.24
2021-09-30,73.08,$9.64,7.58
2021-06-30,74.28,$7.60,9.78
2021-03-31,78.34,$7.78,10.06
2020-12-31,66.57,$2.89,23.07
2020-09-30,43.52,$3.26,13.34
2020-06-30,52.28,$3.02,17.29
2020-03-31,46.55,$3.86,12.04
2019-12-31,79.5,$4.45,17.86
2019-09-30,71.26,$5.06,14.07
2019-06-30,68.21,$5.95,11.46
2019-03-31,64.34,$5.34,12.05
2018-12-31,54.51,$6.73,8.1
2018-09-30,63.9,$4.92,12.98
2018-06-30,67.06,$4.00,16.76
2018-03-31,66.34,$4.07,16.3
2017-12-31,67.99,$3.40,20.02
2017-09-30,65.74,$5.19,12.66
2017-06-30,65.0,$5.32,12.22
2017-03-31,64.11,$4.90,13.07
2016-12-31,68.63,$4.93,13.92
2016-09-30,55.87,$4.03,13.87
2016-06-30,52.58,$4.12,12.77
2016-03-31,51.83,$5.11,10.14
2015-12-31,47.41,$5.06,9.37
2015-09-30,47.54,$5.30,8.98
2015-06-30,49.57,$5.45,9.1
2015-03-31,45.18,$4.21,10.74
2014-12-31,43.45,$4.44,9.79
2014-09-30,41.3,$4.33,9.54
2014-06-30,42.34,$4.04,10.49
2014-03-31,43.38,$5.59,7.77
2013-12-31,41.99,$5.07,8.28
2013-09-30,38.37,$5.70,6.73
2013-06-30,35.16,$5.29,6.65
2013-03-31,35.19,$4.20,8.39
2012-12-31,30.23,$4.58,6.6
2012-09-30,30.98,$3.39,9.13
2012-06-30,30.91,$4.61,6.71
2012-03-31,32.22,$4.25,7.57
2011-12-31,29.36,$4.65,6.31
2011-09-30,23.75,$4.74,5.01
2011-06-30,30.03,$4.05,7.41
2011-03-31,30.57,$4.53,6.74
2010-12-31,29.9,$4.04,7.39
2010-09-30,28.16,$3.22,8.75
2010-06-30,30.01,$4.06,7.39
2010-03-31,27.64,$2.74,10.09
2009-12-31,28.64,$5.84,4.9
