Winnebago Industries Price to Free Cash Flow Ratio Historical Data,Winnebago Industries Price to Free Cash Flow Ratio Historical Data,Winnebago Industries Price to Free Cash Flow Ratio Historical Data,Winnebago Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,60.16,,10.43
2024-05-31,61.34,$5.77,10.64
2024-02-29,70.6,$6.25,11.3
2023-11-30,63.32,$4.96,12.76
2023-08-31,63.22,$5.98,10.57
2023-05-31,54.03,$6.45,8.38
2023-02-28,61.44,$8.48,7.24
2022-11-30,56.38,$8.57,6.58
2022-08-31,55.15,$9.48,5.82
2022-05-31,47.19,$9.78,4.83
2022-02-28,60.95,$6.19,9.84
2021-11-30,68.53,$6.98,9.82
2021-08-31,65.89,$9.14,7.21
2021-02-28,65.65,$5.93,11.08
2020-11-30,49.84,$4.77,10.46
2020-08-31,50.71,$7.12,7.13
2020-05-31,51.02,$5.29,9.64
2020-02-29,48.51,$4.98,9.73
2019-11-30,44.35,$3.88,11.44
2019-08-31,29.78,$2.93,10.15
2019-05-31,29.81,$2.59,11.51
2019-02-28,30.15,$2.63,11.47
2018-11-30,23.13,$3.92,5.91
2018-08-31,34.06,$4.49,7.58
2017-11-30,50.11,$3.60,13.9
2017-08-31,33.02,$2.71,12.19
2017-05-31,22.31,$2.43,9.18
2017-02-28,29.94,$1.92,15.59
2016-11-30,29.34,$1.32,22.17
2016-08-31,21.69,$1.04,20.78
2016-05-31,20.2,$0.14,146.94
2016-02-29,16.72,$-0.04,0.0
2015-11-30,19.98,$2.10,9.53
2015-08-31,18.1,$1.87,9.68
2018-05-31,33.33,$1.36,24.49
2015-05-31,19.13,$0.51,37.47
2015-02-28,20.34,$-4.83,0.0
2014-11-30,21.97,$0.86,25.64
2014-08-31,21.49,$1.04,20.72
2014-05-31,21.51,$0.20,105.21
2021-05-31,69.88,$4.51,15.5
2014-02-28,23.17,$0.11,210.98
2013-11-30,26.9,$-0.37,0.0
2013-08-31,19.35,$0.62,31.14
2013-05-31,18.04,$-0.34,0.0
2013-02-28,16.84,$-1.41,0.0
2018-02-28,39.93,$-0.31,0.0
2012-11-30,12.36,$-0.48,0.0
2012-08-31,9.99,$-0.07,0.0
2012-05-31,7.79,$0.47,16.5
2012-02-29,7.75,$0.55,14.03
2011-11-30,5.6,$-0.43,0.0
2011-08-31,6.82,$-0.28,0.0
2011-05-31,9.95,$-0.54,0.0
2011-02-28,12.56,$0.46,27.51
2010-11-30,9.11,$1.47,6.18
2010-08-31,7.46,$1.07,6.94
2010-05-31,10.54,$1.04,10.14
2010-02-28,10.15,$0.43,23.62
2009-11-30,9.43,$-0.04,0.0
