Griffon Price to Free Cash Flow Ratio Historical Data,Griffon Price to Free Cash Flow Ratio Historical Data,Griffon Price to Free Cash Flow Ratio Historical Data,Griffon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,68.08,,9.43
2024-06-30,63.71,$7.22,8.82
2024-03-31,73.17,$7.16,10.22
2023-12-31,60.68,$8.21,7.39
2023-09-30,39.37,$7.13,5.53
2023-06-30,39.87,$7.66,5.21
2023-03-31,29.58,$7.03,4.21
2022-12-31,32.98,$3.60,9.17
2022-09-30,27.12,$0.33,83.23
2022-06-30,23.85,$-0.99,0.0
2022-03-31,17.0,$-1.87,0.0
2021-12-31,24.07,$-1.22,0.0
2021-09-30,20.72,$0.62,33.41
2021-06-30,21.51,$0.76,28.28
2021-03-31,22.74,$2.20,10.33
2020-12-31,17.0,$2.24,7.59
2020-09-30,16.23,$1.47,11.06
2020-06-30,15.34,$2.09,7.35
2020-03-31,10.43,$1.09,9.57
2019-12-31,16.7,$0.76,21.84
2019-09-30,17.16,$1.30,13.2
2019-06-30,13.79,$0.82,16.73
2019-03-31,14.99,$0.11,133.15
2018-12-31,8.44,$0.40,21.09
2018-09-30,12.98,$0.21,63.14
2018-06-30,14.25,$-0.65,0.0
2018-03-31,14.56,$-0.58,0.0
2017-12-31,15.33,$-0.53,0.0
2017-09-30,16.68,$0.39,42.38
2017-06-30,16.44,$1.17,14.06
2017-03-31,18.41,$0.24,77.38
2016-09-30,12.64,$0.49,25.8
2016-06-30,12.49,$-0.20,0.0
2016-03-31,11.41,$-1.41,0.0
2015-12-31,13.11,$-0.05,0.0
2015-09-30,11.58,$-0.30,0.0
2016-12-31,19.52,$-0.72,0.0
2015-06-30,11.66,$-0.11,0.0
2015-03-31,12.74,$-0.14,0.0
2014-12-31,9.7,$0.59,16.48
2014-09-30,8.28,$0.34,24.24
2014-06-30,8.99,$1.06,8.48
2014-03-31,8.63,$0.33,26.23
2013-12-31,9.53,$0.45,21.19
2013-09-30,9.02,$0.40,22.36
2013-06-30,8.07,$0.10,80.73
2013-03-31,8.53,$-0.06,0.0
2012-12-31,8.18,$0.12,70.83
2012-09-30,7.33,$0.38,19.46
2012-06-30,6.09,$-0.50,0.0
2012-03-31,7.58,$-0.31,0.0
2011-12-31,6.46,$-0.75,0.0
2011-09-30,5.77,$-0.86,0.0
2011-06-30,7.11,$-0.48,0.0
2011-03-31,9.26,$-0.37,0.0
2010-12-31,8.99,$-0.86,0.0
2010-09-30,8.6,$0.35,24.62
2010-06-30,7.8,$0.48,16.18
2010-03-31,8.79,$-0.08,0.0
2009-09-30,7.1,$0.87,8.15
