H&E Equipment Services Price to Free Cash Flow Ratio Historical Data,H&E Equipment Services Price to Free Cash Flow Ratio Historical Data,H&E Equipment Services Price to Free Cash Flow Ratio Historical Data,H&E Equipment Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.95,,50.32
2024-06-30,43.91,$1.03,42.54
2024-03-31,63.44,$-2.66,0.0
2023-12-31,51.45,$-4.73,0.0
2023-09-30,42.21,$-4.66,0.0
2023-06-30,44.45,$-4.80,0.0
2023-03-31,42.65,$-3.14,0.0
2022-12-31,43.55,$-2.64,0.0
2022-09-30,27.01,$-2.92,0.0
2022-06-30,27.39,$-0.42,0.0
2022-03-31,40.83,$-1.78,0.0
2021-12-31,41.26,$-1.30,0.0
2021-09-30,32.16,$1.03,31.17
2021-06-30,30.57,$1.63,18.78
2021-03-31,34.66,$8.00,4.33
2020-12-31,26.95,$8.51,3.16
2020-09-30,17.6,$9.09,1.94
2020-06-30,16.33,$7.10,2.3
2020-03-31,12.77,$3.56,3.59
2019-12-31,28.74,$2.78,10.35
2019-09-30,24.61,$1.92,12.83
2019-06-30,24.53,$-0.12,0.0
2019-03-31,20.95,$-2.17,0.0
2018-12-31,16.87,$-2.31,0.0
2018-09-30,30.82,$-3.04,0.0
2018-06-30,30.43,$-0.46,0.0
2018-03-31,30.91,$1.76,17.53
2017-12-31,32.41,$2.05,15.82
2017-09-30,23.1,$2.46,9.4
2017-06-30,15.96,$1.30,12.28
2017-03-31,18.92,$1.66,11.43
2016-12-31,17.73,$1.76,10.05
2016-09-30,12.59,$2.19,5.74
2016-06-30,14.05,$3.41,4.12
2016-03-31,12.76,$3.70,3.45
2015-12-31,12.44,$2.97,4.19
2015-09-30,11.73,$0.36,32.37
2015-06-30,13.77,$-1.16,0.0
2015-03-31,17.06,$-2.89,0.0
2014-12-31,18.96,$-1.52,0.0
2014-09-30,27.0,$-1.85,0.0
2014-06-30,24.21,$-2.03,0.0
2013-12-31,19.74,$-1.16,0.0
2013-09-30,17.69,$-6.35,0.0
2013-06-30,14.04,$-6.43,0.0
2013-03-31,13.59,$-7.33,0.0
2012-12-31,10.04,$-8.46,0.0
2014-03-31,26.94,$-5.28,0.0
2012-09-30,8.07,$-3.83,0.0
2012-06-30,6.53,$-2.15,0.0
2012-03-31,8.22,$-1.36,0.0
2011-12-31,5.83,$-0.52,0.0
2011-09-30,3.58,$-1.51,0.0
2011-03-31,8.49,$-0.90,0.0
2010-12-31,5.03,$-0.34,0.0
2010-09-30,3.46,$3.89,0.89
2010-06-30,3.25,$1.24,2.61
2010-03-31,4.68,$2.35,2.0
2009-12-31,4.56,$2.97,1.54
2011-06-30,6.08,$-1.09,0.0
