New York Times Price to Free Cash Flow Ratio Historical Data,New York Times Price to Free Cash Flow Ratio Historical Data,New York Times Price to Free Cash Flow Ratio Historical Data,New York Times Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,55.5,,26.43
2024-06-30,50.96,$2.10,24.27
2024-03-31,42.88,$2.05,20.91
2023-12-31,48.49,$2.04,23.77
2023-09-30,40.67,$1.59,25.55
2023-06-30,38.77,$1.36,28.56
2023-03-31,38.17,$1.09,35.05
2022-12-31,31.78,$0.68,46.71
2022-09-30,28.07,$0.63,44.38
2022-06-30,27.15,$0.81,33.71
2022-03-31,44.53,$1.10,40.65
2021-12-31,46.85,$1.39,33.67
2021-09-30,47.72,$1.61,29.56
2021-06-30,42.11,$1.56,27.01
2021-03-31,48.88,$1.59,30.84
2020-12-31,49.93,$1.57,31.84
2020-09-30,41.22,$1.39,29.65
2020-06-30,40.43,$1.20,33.82
2020-03-31,29.48,$0.92,32.22
2019-12-31,30.84,$0.86,35.76
2019-09-30,27.25,$0.68,40.11
2019-06-30,31.17,$0.53,58.95
2019-03-31,31.34,$0.61,51.63
2018-12-31,21.27,$0.48,44.58
2018-09-30,22.05,$-0.27,0.0
2018-06-30,24.63,$-0.27,0.0
2018-03-31,22.88,$-0.17,0.0
2017-12-31,17.56,$0.01,1475.82
2017-09-30,18.57,$0.67,27.71
2017-06-30,16.73,$0.77,21.81
2017-03-31,13.57,$0.73,18.61
2016-12-31,12.5,$0.45,27.58
2016-09-30,11.19,$0.79,14.25
2016-06-30,11.3,$0.77,14.63
2016-03-31,11.6,$0.76,15.26
2015-12-31,12.45,$0.91,13.62
2015-09-30,10.92,$0.73,14.94
2015-06-30,12.59,$0.65,19.45
2015-03-31,12.65,$0.39,32.76
2014-12-31,12.12,$0.28,43.3
2014-09-30,10.25,$0.63,16.32
2014-06-30,13.86,$0.70,19.81
2014-03-31,15.56,$1.05,14.83
2013-12-31,14.38,$0.55,26.24
2013-09-30,11.35,$-0.36,0.0
2013-06-30,9.99,$-0.29,0.0
2013-03-31,8.85,$-0.18,0.0
2012-12-31,7.71,$0.29,26.49
2012-09-30,8.82,$0.73,12.16
2012-06-30,7.05,$0.46,15.32
2012-03-31,6.13,$0.49,12.51
2011-12-31,6.98,$0.27,26.03
2011-09-30,5.25,$0.48,11.04
2011-06-30,7.88,$0.65,12.09
2011-03-31,8.55,$0.05,188.42
2010-12-31,8.85,$0.81,10.96
2010-09-30,6.99,$1.20,5.81
2010-06-30,7.81,$1.63,4.79
2010-03-31,10.05,$1.97,5.11
2009-12-31,11.16,$1.52,7.34
