Barnes Price to Free Cash Flow Ratio Historical Data,Barnes Price to Free Cash Flow Ratio Historical Data,Barnes Price to Free Cash Flow Ratio Historical Data,Barnes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,46.53,,138.56
2024-06-30,41.24,$0.34,122.8
2024-03-31,36.99,$0.55,67.52
2023-12-31,32.35,$1.26,25.64
2023-09-30,33.47,$1.19,28.05
2023-06-30,41.4,$1.33,31.03
2023-03-31,39.37,$-1.43,0.0
2022-12-31,39.78,$-1.17,0.0
2022-09-30,28.01,$-0.91,0.0
2022-06-30,30.05,$-0.64,0.0
2021-12-31,44.6,$2.68,16.67
2021-09-30,39.81,$5.76,6.92
2021-06-30,48.73,$4.77,10.23
2021-03-31,46.96,$4.58,10.26
2020-12-31,47.91,$5.38,8.91
2022-03-31,38.61,$2.31,16.71
2020-09-30,33.67,$4.01,8.4
2020-06-30,37.11,$4.22,8.8
2020-03-31,39.07,$3.72,10.51
2019-12-31,57.71,$3.79,15.23
2019-09-30,47.88,$3.58,13.38
2019-06-30,52.14,$3.82,13.67
2019-03-31,47.44,$3.82,12.4
2018-12-31,49.35,$3.43,14.38
2018-09-30,65.19,$2.67,24.46
2018-06-30,53.93,$2.55,21.16
2018-03-31,54.69,$2.34,23.41
2017-12-31,57.65,$2.71,21.3
2017-09-30,64.05,$3.10,20.69
2017-06-30,53.1,$3.14,16.91
2017-03-31,46.46,$3.54,13.11
2016-12-31,42.8,$3.13,13.69
2016-09-30,36.49,$3.11,11.73
2016-06-30,29.71,$3.34,8.91
2016-03-31,31.31,$0.97,32.4
2015-12-31,31.51,$1.73,18.2
2015-09-30,32.0,$1.68,19.1
2015-06-30,34.5,$1.14,30.35
2014-12-31,32.55,$2.51,12.99
2014-09-30,26.61,$0.35,76.79
2014-06-30,33.68,$-0.12,0.0
2014-03-31,33.52,$-1.99,0.0
2013-12-31,33.28,$-1.34,0.0
2015-03-31,35.72,$-0.13,0.0
2013-09-30,30.25,$0.43,70.46
2013-06-30,25.89,$2.30,11.28
2013-03-31,24.89,$1.95,12.74
2012-12-31,19.25,$1.80,10.69
2012-09-30,21.33,$1.57,13.58
2012-06-30,20.63,$1.50,13.79
2012-03-31,22.25,$1.87,11.9
2011-12-31,20.32,$1.58,12.87
2011-09-30,16.15,$1.23,13.14
2011-06-30,20.75,$0.78,26.49
2011-03-31,17.4,$0.35,50.1
2010-12-31,17.16,$0.69,24.93
2010-09-30,14.54,$0.81,18.02
2010-06-30,13.48,$1.99,6.76
2010-03-31,15.93,$2.32,6.86
2009-12-31,13.77,$2.21,6.23
