LiveWire Price to Free Cash Flow Ratio Historical Data,LiveWire Price to Free Cash Flow Ratio Historical Data,LiveWire Price to Free Cash Flow Ratio Historical Data,LiveWire Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.45,,0.0
2024-06-30,7.66,$-0.50,0.0
2024-03-31,7.23,$-0.46,0.0
2023-12-31,11.31,$-0.48,0.0
2023-09-30,6.93,$-0.48,0.0
2023-06-30,11.81,$-0.58,0.0
2023-03-31,6.45,$-0.61,0.0
2022-12-31,4.85,$-0.60,0.0
2022-09-30,7.18,$-0.92,0.0
2022-06-30,9.92,$-0.75,0.0
2022-03-31,9.9,$-0.64,0.0
2021-12-31,9.99,$-0.52,0.0
2021-09-30,9.78,$-0.06,0.0
