Healthcare Realty Trust Price to Free Cash Flow Ratio Historical Data,Healthcare Realty Trust Price to Free Cash Flow Ratio Historical Data,Healthcare Realty Trust Price to Free Cash Flow Ratio Historical Data,Healthcare Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.99,,5.11
2024-06-30,16.48,$3.52,4.68
2024-03-31,13.87,$2.75,5.05
2023-12-31,16.51,$3.04,5.43
2023-09-30,14.31,$4.17,3.43
2023-06-30,17.37,$5.64,3.08
2023-03-31,17.8,$4.67,3.81
2022-12-31,17.74,$4.22,4.2
2022-09-30,18.9,$2.01,9.42
2022-06-30,25.27,$-0.75,0.0
2022-03-31,28.09,$-0.18,0.0
2021-12-31,29.65,$-0.64,0.0
2021-09-30,26.33,$-0.25,0.0
2021-06-30,23.71,$0.41,57.78
2020-12-31,23.88,$0.58,41.21
2020-09-30,22.27,$-1.31,0.0
2020-06-30,22.72,$-1.05,0.0
2020-03-31,20.5,$-1.32,0.0
2019-12-31,25.57,$-1.43,0.0
2019-09-30,24.56,$1.20,20.42
2019-06-30,22.67,$2.17,10.46
2019-03-31,23.37,$2.56,9.15
2018-12-31,20.69,$2.61,7.94
2018-09-30,21.55,$1.74,12.36
2018-06-30,21.78,$1.21,17.95
2018-03-31,21.37,$-11.08,0.0
2017-12-31,24.27,$-11.12,0.0
2017-09-30,23.83,$-10.55,0.0
2017-06-30,24.63,$-11.90,0.0
2021-03-31,24.49,$-0.99,0.0
2017-03-31,24.91,$-1.89,0.0
2016-12-31,23.05,$-2.89,0.0
2016-09-30,25.56,$-2.64,0.0
2016-06-30,25.34,$-1.16,0.0
2016-03-31,23.05,$-1.58,0.0
2015-12-31,20.92,$-0.65,0.0
2015-09-30,18.81,$-0.80,0.0
2015-06-30,18.38,$-1.42,0.0
2015-03-31,21.38,$-1.00,0.0
2014-12-31,20.67,$-0.73,0.0
2014-09-30,8.9,$-1.56,0.0
2014-06-30,9.24,$-2.15,0.0
2014-03-31,8.74,$-1.07,0.0
2013-12-31,7.55,$-1.90,0.0
2013-09-30,7.96,$-0.99,0.0
2013-06-30,8.38,$-0.16,0.0
2013-03-31,8.66,$-0.36,0.0
2012-12-31,7.2,$-1.47,0.0
2012-09-30,7.02,$-1.62,0.0
2012-06-30,7.01,$-1.47,0.0
2012-03-31,14.08,$-1.33,0.0
2011-12-31,11.73,$0.30,38.94
2011-09-30,10.45,$1.02,10.22
2011-06-30,12.57,$0.83,15.13
2011-03-31,13.64,$0.54,25.07
2010-12-31,12.54,$0.61,20.54
2010-09-30,13.66,0,0.0
2010-06-30,12.67,0,0.0
2010-03-31,13.25,0,0.0
2009-12-31,12.03,0,0.0
