Twist Bioscience Price to Free Cash Flow Ratio Historical Data,Twist Bioscience Price to Free Cash Flow Ratio Historical Data,Twist Bioscience Price to Free Cash Flow Ratio Historical Data,Twist Bioscience Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,45.52,,0.0
2024-06-30,49.28,$-1.30,0.0
2024-03-31,34.31,$-1.66,0.0
2023-12-31,36.86,$-2.25,0.0
2023-09-30,20.26,$-2.99,0.0
2023-06-30,20.46,$-3.07,0.0
2023-03-31,15.08,$-3.80,0.0
2022-12-31,23.81,$-4.18,0.0
2022-09-30,35.24,$-4.20,0.0
2022-06-30,34.96,$-4.62,0.0
2022-03-31,49.38,$-4.13,0.0
2021-12-31,77.39,$-3.46,0.0
2021-09-30,106.97,$-2.89,0.0
2021-06-30,133.25,$-2.87,0.0
2021-03-31,123.86,$-2.50,0.0
2020-12-31,141.29,$-3.38,0.0
2020-09-30,75.97,$-3.88,0.0
2020-06-30,45.3,$-4.23,0.0
2020-03-31,30.58,$-4.66,0.0
2019-12-31,21.0,$-3.63,0.0
2019-09-30,23.88,$-3.74,0.0
