Despegar Price to Free Cash Flow Ratio Historical Data,Despegar Price to Free Cash Flow Ratio Historical Data,Despegar Price to Free Cash Flow Ratio Historical Data,Despegar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.18,,14.53
2024-06-30,13.23,$0.98,13.56
2024-03-31,11.96,$1.11,10.81
2023-12-31,9.46,$1.20,7.86
2023-09-30,7.25,$0.42,17.18
2023-06-30,7.05,$0.78,9.08
2023-03-31,6.14,$0.07,89.77
2022-12-31,5.13,$0.42,12.16
2022-09-30,5.7,$-0.51,0.0
2022-06-30,8.1,$-0.49,0.0
2022-03-31,12.2,$-0.01,0.0
2021-12-31,9.79,$-0.51,0.0
2021-09-30,12.03,$-0.58,0.0
2021-06-30,13.21,$-1.97,0.0
2021-03-31,13.63,$-0.71,0.0
2020-12-31,12.81,$-1.67,0.0
2020-09-30,6.36,$-0.88,0.0
2020-06-30,7.18,$0.84,8.59
2020-03-31,5.67,$-0.40,0.0
2019-12-31,13.48,$0.55,24.45
2019-09-30,11.32,$0.19,59.3
2019-06-30,13.89,$-0.59,0.0
2019-03-31,14.9,$-0.53,0.0
2018-12-31,12.41,$0.06,191.22
