Church & Dwight Price to Free Cash Flow Ratio Historical Data,Church & Dwight Price to Free Cash Flow Ratio Historical Data,Church & Dwight Price to Free Cash Flow Ratio Historical Data,Church & Dwight Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,101.88,,31.83
2024-06-30,103.39,$3.20,32.3
2024-03-31,103.74,$3.13,33.09
2023-12-31,93.77,$3.26,28.77
2023-09-30,90.59,$3.80,23.81
2023-06-30,98.81,$3.56,27.72
2023-03-31,86.92,$3.32,26.2
2022-12-31,78.99,$2.87,27.54
2022-09-30,69.76,$2.92,23.9
2022-06-30,90.21,$3.40,26.5
2022-03-31,96.49,$3.77,25.62
2021-12-31,99.25,$3.51,28.31
2021-09-30,79.73,$2.96,26.95
2021-06-30,82.05,$2.48,33.09
2021-03-31,83.86,$2.95,28.38
2020-12-31,83.49,$3.56,23.44
2020-09-30,89.44,$3.82,23.44
2020-06-30,73.6,$4.13,17.83
2020-03-31,60.9,$3.54,17.21
2019-12-31,66.54,$3.14,21.21
2019-09-30,70.94,$2.95,24.06
2019-06-30,68.68,$2.89,23.8
2019-03-31,66.75,$2.72,24.51
2018-12-31,61.41,$2.80,21.89
2018-09-30,55.26,$3.05,18.13
2018-06-30,49.28,$2.77,17.81
2018-03-31,46.47,$2.57,18.07
2017-12-31,46.09,$2.49,18.54
2017-09-30,44.33,$2.11,20.99
2017-06-30,47.28,$2.18,21.68
2017-03-31,45.28,$2.16,20.93
2016-12-31,39.97,$2.31,17.3
2016-09-30,43.17,$2.45,17.61
2016-06-30,46.26,$2.30,20.13
2016-03-31,41.37,$2.23,18.59
2015-12-31,38.02,$2.04,18.66
2015-09-30,37.42,$1.70,21.99
2015-06-30,36.05,$1.82,19.8
2015-03-31,37.81,$1.82,20.76
2014-12-31,34.74,$1.71,20.33
2014-09-30,30.8,$1.68,18.38
2014-06-30,30.56,$1.72,17.74
2014-03-31,30.04,$1.65,18.17
2013-12-31,28.69,$1.53,18.73
2013-09-30,25.94,$1.86,13.92
2013-06-30,26.59,$1.55,17.18
2013-03-31,27.79,$1.45,19.13
2012-12-31,22.98,$1.57,14.6
2012-09-30,23.1,$1.22,18.89
2012-06-30,23.68,$1.26,18.86
2012-03-31,20.95,$1.33,15.76
2011-12-31,19.44,$1.24,15.7
2011-09-30,18.74,$1.34,13.94
2011-06-30,17.16,$1.41,12.15
2011-03-31,16.77,$1.29,12.95
2010-12-31,14.57,$1.29,11.29
2010-09-30,13.7,$1.05,13.01
2010-06-30,13.22,$0.83,15.87
2010-03-31,14.11,$1.03,13.67
2009-12-31,12.73,$1.03,12.32
