Byline Bancorp Price to Free Cash Flow Ratio Historical Data,Byline Bancorp Price to Free Cash Flow Ratio Historical Data,Byline Bancorp Price to Free Cash Flow Ratio Historical Data,Byline Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.86,,6.73
2024-06-30,23.66,$3.99,5.92
2024-03-31,21.56,$4.22,5.11
2023-12-31,23.29,$4.07,5.72
2023-09-30,19.39,$4.82,4.03
2023-06-30,17.73,$4.25,4.17
2023-03-31,21.08,$4.76,4.43
2022-12-31,22.32,$5.87,3.8
2022-09-30,19.6,$5.78,3.39
2022-06-30,22.95,$4.38,5.24
2022-03-31,25.63,$4.14,6.19
2021-12-31,26.18,$2.12,12.32
2021-09-30,23.43,$4.11,5.7
2021-06-30,21.51,$3.54,6.08
2021-03-31,20.05,$2.57,7.81
2020-12-31,14.6,$2.78,5.25
2020-09-30,10.64,$0.38,28.34
2020-06-30,12.32,$2.06,5.98
2020-03-31,9.73,$0.95,10.21
2019-12-31,18.3,$0.70,26.31
2019-09-30,16.7,$0.96,17.35
2019-06-30,17.86,$0.45,39.96
2019-03-31,17.26,$1.91,9.03
2018-12-31,15.56,$2.43,6.39
2018-09-30,21.2,$2.34,9.06
2018-06-30,20.86,$1.53,13.6
2018-03-31,21.41,$1.96,10.93
