HNI Price to Free Cash Flow Ratio Historical Data,HNI Price to Free Cash Flow Ratio Historical Data,HNI Price to Free Cash Flow Ratio Historical Data,HNI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,55.54,,12.18
2024-06-30,44.74,$4.56,9.81
2024-03-31,44.52,$3.89,11.43
2023-12-31,40.96,$4.15,9.87
2023-09-30,33.64,$2.77,12.16
2023-06-30,27.09,$1.65,16.41
2023-03-31,26.45,$1.56,16.91
2022-12-31,26.73,$0.30,88.14
2022-09-30,24.66,$0.20,123.35
2022-06-30,31.98,$-0.02,0.0
2022-03-31,33.87,$0.55,62.07
2021-12-31,38.15,$1.48,25.82
2021-09-30,33.07,$2.35,14.08
2021-06-30,39.27,$3.97,9.9
2021-03-31,35.09,$4.71,7.45
2020-12-31,30.31,$4.02,7.55
2020-09-30,27.37,$4.58,5.98
2020-06-30,26.41,$4.24,6.23
2020-03-31,21.44,$3.49,6.14
2019-12-31,31.65,$3.51,9.03
2019-09-30,29.76,$2.79,10.65
2019-06-30,29.37,$2.39,12.3
2019-03-31,29.87,$2.88,10.36
2018-12-31,28.96,$3.30,8.76
2018-09-30,35.89,$3.21,11.17
2018-06-30,29.97,$2.68,11.17
2018-03-31,28.85,$-2.63,0.0
2017-12-31,30.61,$-0.37,0.0
2017-09-30,32.63,$-0.34,0.0
2017-06-30,31.12,$-0.95,0.0
2016-12-31,43.1,$2.30,18.71
2016-09-30,30.51,$3.46,8.82
2016-06-30,35.45,$0.82,43.36
2016-03-31,29.67,$1.57,18.84
2015-12-31,27.1,$2.54,10.66
2017-03-31,35.73,$-1.92,0.0
2015-09-30,32.04,$0.93,34.54
2015-06-30,38.0,$0.75,50.78
2015-03-31,40.76,$0.89,46.05
2014-12-31,37.54,$1.57,23.95
2014-09-30,26.32,$1.41,18.7
2014-06-30,28.41,$2.03,13.98
2014-03-31,26.37,$1.87,14.1
2013-12-31,27.82,$1.88,14.77
2013-09-30,25.76,$1.69,15.25
2013-06-30,25.52,$1.16,21.98
2013-03-31,24.94,$1.76,14.2
2012-12-31,20.97,$1.87,11.21
2012-09-30,17.64,$2.05,8.62
2012-06-30,17.65,$2.41,7.33
2012-03-31,18.82,$2.02,9.32
2011-12-31,17.54,$2.33,7.53
2011-09-30,12.73,$1.89,6.72
2011-06-30,16.51,$1.24,13.33
2011-03-31,20.55,$-3.12,0.0
2010-12-31,20.16,$-1.36,0.0
2010-09-30,18.43,$-0.26,0.0
2010-06-30,17.53,$-0.23,0.0
2009-12-31,17.26,$4.06,4.25
2009-09-30,14.62,$2.25,6.51
