Artisan Partners Asset Management Price to Free Cash Flow Ratio Historical Data,Artisan Partners Asset Management Price to Free Cash Flow Ratio Historical Data,Artisan Partners Asset Management Price to Free Cash Flow Ratio Historical Data,Artisan Partners Asset Management Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,46.29,,10.5
2024-06-30,40.56,$4.41,9.2
2024-03-31,44.38,$4.24,10.46
2023-12-31,41.8,$3.85,10.86
2023-09-30,34.8,$4.09,8.51
2023-06-30,35.96,$4.16,8.65
2023-03-31,28.8,$-0.00,0.0
2022-12-31,26.09,$-1.96,0.0
2022-09-30,23.27,$0.37,63.48
2022-06-30,30.26,$0.09,322.61
2021-12-31,37.98,$6.56,5.79
2021-09-30,38.18,$9.30,4.1
2021-06-30,38.91,$9.94,3.91
2021-03-31,39.26,$10.56,3.72
2020-12-31,36.98,$8.69,4.26
2022-03-31,32.76,$8.29,3.95
2020-09-30,28.11,$5.88,4.78
2020-06-30,23.03,$5.72,4.02
2020-03-31,14.89,$5.85,2.55
2019-12-31,21.63,$5.38,4.02
2019-09-30,18.48,$4.83,3.82
2019-06-30,17.6,$4.97,3.54
2019-03-31,15.75,$4.80,3.28
2018-12-31,12.99,$6.54,1.99
2018-09-30,18.61,$5.63,3.3
2018-06-30,17.0,$5.49,3.09
2018-03-31,18.44,$5.58,3.3
2017-12-31,20.99,$4.93,4.26
2017-09-30,17.04,$6.15,2.77
2017-06-30,15.74,$6.45,2.44
2017-03-31,13.85,$6.76,2.05
2016-12-31,14.47,$6.90,2.1
2016-09-30,12.94,$7.27,1.78
2016-06-30,12.89,$7.72,1.67
2016-03-31,14.08,$7.96,1.77
2015-12-31,15.81,$8.86,1.79
2015-09-30,15.2,$10.05,1.51
2015-06-30,19.79,$10.02,1.98
2015-03-31,19.11,$9.14,2.09
2014-12-31,20.53,$12.43,1.65
2014-09-30,20.92,$10.82,1.93
2014-06-30,22.55,$13.25,1.7
2014-03-31,25.31,$17.03,1.49
2013-12-31,24.76,$7.91,3.13
