Kinsale Capital Price to Free Cash Flow Ratio Historical Data,Kinsale Capital Price to Free Cash Flow Ratio Historical Data,Kinsale Capital Price to Free Cash Flow Ratio Historical Data,Kinsale Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,475.19,,12.1
2024-06-30,385.16,$39.27,9.81
2024-03-31,524.58,$37.10,14.14
2023-12-31,334.71,$36.61,9.14
2023-09-30,413.72,$31.84,12.99
2023-06-30,373.69,$29.85,12.52
2023-03-31,299.61,$26.94,11.12
2022-12-31,260.93,$23.82,10.95
2022-09-30,254.74,$24.06,10.59
2022-06-30,228.91,$21.04,10.88
2022-03-31,227.16,$18.74,12.12
2021-12-31,236.85,$17.39,13.62
2021-09-30,160.91,$15.96,10.08
2021-06-30,163.86,$14.19,11.55
2021-03-31,163.78,$12.49,13.11
2020-12-31,198.76,$11.04,18.01
2020-09-30,188.81,$10.34,18.27
2020-06-30,154.03,$9.35,16.47
2020-03-31,103.67,$8.24,12.58
2019-12-31,100.75,$7.17,14.05
2019-09-30,102.3,$5.94,17.21
2019-06-30,90.52,$5.42,16.7
2019-03-31,67.78,$5.12,13.23
2018-12-31,54.86,$4.74,11.58
2018-09-30,63.05,$4.18,15.09
2018-06-30,54.1,$4.00,13.52
2018-03-31,50.56,$3.86,13.1
2017-12-31,44.26,$3.59,12.32
2017-09-30,42.4,$3.46,12.24
2017-06-30,36.59,$3.90,9.38
