Targa Resources Price to Free Cash Flow Ratio Historical Data,Targa Resources Price to Free Cash Flow Ratio Historical Data,Targa Resources Price to Free Cash Flow Ratio Historical Data,Targa Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,146.9,,76.55
2024-06-30,128.07,$1.92,66.74
2024-03-31,110.66,$1.55,71.29
2023-12-31,85.35,$3.66,23.35
2023-09-30,83.72,$2.68,31.25
2023-06-30,73.87,$3.77,19.57
2023-03-31,70.34,$5.22,13.49
2022-12-31,70.53,$4.53,15.58
2022-09-30,57.6,$6.98,8.25
2022-06-30,56.67,$7.25,7.82
2022-03-31,71.35,$8.08,8.83
2021-12-31,49.09,$7.86,6.24
2021-09-30,46.16,$7.51,6.15
2021-06-30,41.6,$7.66,5.43
2021-03-31,29.63,$5.06,5.85
2020-12-31,24.53,$3.41,7.18
2020-09-30,12.96,$1.36,9.51
2020-06-30,18.45,$-0.72,0.0
2020-03-31,6.3,$-3.19,0.0
2019-12-31,36.34,$-6.40,0.0
2019-09-30,34.94,$-10.36,0.0
2019-06-30,33.37,$-11.17,0.0
2019-03-31,34.53,$-10.42,0.0
2018-12-31,29.32,$-8.79,0.0
2018-09-30,45.01,$-5.12,0.0
2018-06-30,38.87,$-4.20,0.0
2018-03-31,33.9,$-3.74,0.0
2017-12-31,36.61,$-1.73,0.0
2017-09-30,35.0,$-0.58,0.0
2017-06-30,32.8,$0.55,59.84
2017-03-31,42.77,$2.21,19.33
2016-12-31,39.41,$1.78,22.1
2016-09-30,33.81,$3.61,9.36
2016-06-30,28.32,$4.13,6.86
2016-03-31,19.63,$2.71,7.23
2015-12-31,17.09,$4.06,4.21
2015-09-30,32.02,$2.49,12.85
2015-06-30,54.91,$0.73,75.25
2015-03-31,58.49,$-1.06,0.0
2014-12-31,64.17,$-0.01,0.0
2014-09-30,81.92,$-5.54,0.0
2014-06-30,83.54,$-8.18,0.0
2014-03-31,59.05,$-11.42,0.0
2013-12-31,52.1,$-14.99,0.0
2013-09-30,42.8,$-12.60,0.0
2013-06-30,37.45,$-9.56,0.0
2013-03-31,39.27,$-5.24,0.0
2012-12-31,30.3,$-3.70,0.0
2012-09-30,28.62,$0.55,51.58
2012-06-30,24.07,$-1.70,0.0
2012-03-31,25.42,$1.68,15.09
2011-12-31,22.57,$1.14,19.71
2011-09-30,16.35,$4.04,4.04
