Brookdale Senior Living Price to Free Cash Flow Ratio Historical Data,Brookdale Senior Living Price to Free Cash Flow Ratio Historical Data,Brookdale Senior Living Price to Free Cash Flow Ratio Historical Data,Brookdale Senior Living Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.61,,0.0
2024-06-30,6.83,$-0.39,0.0
2024-03-31,6.61,$-0.40,0.0
2023-12-31,5.82,$-0.31,0.0
2023-09-30,4.14,$-0.48,0.0
2023-06-30,4.22,$-0.54,0.0
2023-03-31,2.95,$-0.79,0.0
2022-12-31,2.73,$-1.02,0.0
2022-09-30,4.27,$-1.29,0.0
2022-06-30,4.54,$-1.51,0.0
2022-03-31,7.05,$-1.46,0.0
2021-12-31,5.16,$-1.47,0.0
2021-09-30,6.3,$2.02,3.12
2021-06-30,7.9,$1.48,5.34
2021-03-31,6.05,$-0.18,0.0
2020-12-31,4.43,$0.11,41.29
2020-09-30,2.54,$-2.68,0.0
2020-06-30,2.95,$-2.05,0.0
2020-03-31,3.12,$-0.19,0.0
2019-12-31,7.27,$-0.47,0.0
2019-09-30,7.58,$-0.54,0.0
2019-06-30,7.21,$-0.34,0.0
2019-03-31,6.58,$-0.31,0.0
2018-12-31,6.7,$-0.11,0.0
2018-09-30,9.83,$0.06,159.58
2018-06-30,9.09,$0.17,53.16
2018-03-31,6.71,$0.46,14.47
2017-12-31,9.7,$0.88,10.98
2017-09-30,10.6,$0.97,10.91
2017-06-30,14.71,$-0.15,0.0
2017-03-31,13.43,$0.69,19.51
2016-12-31,12.42,$0.22,57.63
2016-09-30,17.45,$-0.03,0.0
2016-06-30,15.44,$-0.29,0.0
2016-03-31,15.88,$-0.47,0.0
2015-12-31,18.46,$-0.64,0.0
2015-09-30,22.96,$-0.61,0.0
2015-06-30,34.7,$0.10,348.39
2015-03-31,37.76,$-0.74,0.0
2014-12-31,36.67,$-0.42,0.0
2014-09-30,32.22,$-0.18,0.0
2014-06-30,33.34,$0.60,55.25
2014-03-31,33.51,$0.72,46.66
2013-12-31,27.18,$0.88,30.95
2013-09-30,26.3,$0.92,28.59
2013-06-30,26.44,$0.74,35.88
2013-03-31,27.88,$0.75,37.38
2012-12-31,25.32,$0.68,37.42
2012-09-30,23.22,$0.81,28.7
2012-06-30,17.74,$0.71,24.93
2012-03-31,18.72,$0.46,40.66
2011-12-31,17.39,$1.15,15.15
2011-09-30,12.54,$1.12,11.18
2011-06-30,24.25,$1.38,17.56
2011-03-31,28.0,$1.74,16.07
2010-12-31,21.41,$1.22,17.52
2010-09-30,16.31,$1.28,12.75
2010-06-30,15.0,$1.31,11.41
2010-03-31,20.83,$1.07,19.56
2009-12-31,18.19,$1.21,15.03
