First Bancorp Price to Free Cash Flow Ratio Historical Data,First Bancorp Price to Free Cash Flow Ratio Historical Data,First Bancorp Price to Free Cash Flow Ratio Historical Data,First Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.62,,14.1
2024-06-30,31.75,$3.17,10.03
2024-03-31,35.68,$1.70,21.0
2023-12-31,36.34,$3.11,11.69
2023-09-30,27.47,$3.41,8.05
2023-06-30,28.82,$4.27,6.75
2023-03-31,34.16,$4.43,7.71
2022-12-31,40.94,$6.33,6.47
2022-09-30,34.79,$5.76,6.04
2022-06-30,32.99,$5.40,6.11
2022-03-31,39.23,$6.29,6.24
2021-12-31,42.72,$4.44,9.63
2021-09-30,40.01,$4.32,9.27
2021-06-30,37.89,$2.84,13.36
2021-03-31,40.09,$2.09,19.16
2020-12-31,31.04,$1.59,19.49
2020-09-30,19.1,$1.46,13.04
2020-06-30,22.69,$2.29,9.93
2020-03-31,20.73,$1.56,13.29
2019-12-31,35.56,$1.67,21.35
2019-09-30,31.84,$1.70,18.73
2019-06-30,32.2,$2.21,14.56
2019-03-31,30.63,$1.67,18.37
2018-12-31,28.68,$1.29,22.16
2018-09-30,35.46,$2.07,17.15
2018-06-30,35.72,$0.68,52.78
2018-03-31,31.05,$1.05,29.51
2017-12-31,30.67,$0.88,34.74
2017-09-30,29.82,$-0.04,0.0
2017-06-30,27.03,$0.41,65.73
2017-03-31,25.26,$0.74,34.24
2016-12-31,23.34,$1.67,13.98
2016-09-30,16.97,$1.43,11.85
2016-06-30,15.02,$2.20,6.82
2016-03-31,16.03,$2.48,6.46
2015-12-31,15.87,$1.63,9.71
2015-09-30,14.33,$1.86,7.71
2015-06-30,14.0,$1.76,7.94
2015-03-31,14.67,$1.59,9.23
2014-12-31,15.36,$2.17,7.07
2014-09-30,13.26,$3.20,4.15
2014-06-30,15.12,$2.73,5.54
2014-03-31,15.59,$3.19,4.88
2013-12-31,13.58,$3.21,4.22
2013-09-30,11.75,$2.04,5.75
2013-06-30,11.4,$2.35,4.86
2013-03-31,10.84,$2.87,3.78
2012-12-31,10.25,$1.92,5.34
2012-09-30,9.16,$2.10,4.36
2012-06-30,7.01,$2.07,3.38
2012-03-31,8.54,$1.28,6.67
2011-12-31,8.65,$1.80,4.8
2011-09-30,7.74,$2.14,3.62
2011-06-30,7.83,$2.14,3.66
2011-03-31,10.06,$1.83,5.49
2010-12-31,11.54,$2.77,4.16
2010-09-30,10.21,$1.53,6.68
2010-06-30,10.8,$1.65,6.57
2010-03-31,10.03,$1.53,6.55
2009-12-31,10.3,$0.58,17.66
