Toro Price to Free Cash Flow Ratio Historical Data,Toro Price to Free Cash Flow Ratio Historical Data,Toro Price to Free Cash Flow Ratio Historical Data,Toro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,84.06,,23.58
2024-07-31,95.33,$3.57,26.74
2024-04-30,86.91,$2.49,34.95
2024-01-31,91.4,$1.36,67.12
2023-10-31,79.61,$1.50,53.16
2023-07-31,99.69,$1.18,84.32
2023-04-30,101.89,$1.25,81.79
2023-01-31,108.62,$1.42,76.32
2022-10-31,102.39,$1.39,73.7
2022-07-31,83.24,$0.89,94.03
2022-04-30,77.25,$1.55,49.9
2022-01-31,92.79,$2.23,41.69
2021-10-31,91.45,$3.92,23.33
2021-07-31,108.66,$5.57,19.5
2021-04-30,109.21,$5.01,21.8
2021-01-31,89.6,$4.03,22.22
2020-10-31,77.83,$2.98,26.16
2020-07-31,67.43,$-4.94,0.0
2020-04-30,60.08,$-3.85,0.0
2020-01-31,75.05,$-4.47,0.0
2019-10-31,72.11,$-3.54,0.0
2019-07-31,67.87,$3.49,19.42
2019-01-31,55.09,$2.66,20.68
2018-10-31,51.95,$2.53,20.54
2018-07-31,55.32,$3.43,16.13
2018-04-30,53.49,$1.51,35.35
2018-01-31,59.94,$1.39,43.21
2017-10-31,57.21,$2.69,21.29
2019-04-30,67.95,$1.21,56.16
2017-07-31,64.53,$2.73,23.63
2017-04-30,58.79,$3.16,18.58
2017-01-31,53.21,$3.07,17.34
2016-10-31,43.1,$2.98,14.46
2016-07-31,41.25,$2.95,13.96
2016-04-30,38.65,$2.23,17.31
2016-01-31,33.2,$1.94,17.1
2015-10-31,33.4,$1.70,19.6
2015-07-31,30.21,$1.15,26.18
2015-04-30,29.53,$1.17,25.19
2015-01-31,28.49,$0.94,30.32
2014-10-31,26.99,$0.97,27.85
2014-07-31,25.85,$1.38,18.75
2014-04-30,27.6,$1.71,16.14
2014-01-31,27.44,$1.42,19.28
2013-10-31,25.44,$1.46,17.4
2013-07-31,21.22,$1.09,19.38
2013-04-30,19.32,$0.77,25.09
2013-01-31,18.84,$0.51,37.13
2012-10-31,18.01,$0.95,18.88
2012-07-31,15.99,$1.20,13.33
2012-04-30,15.15,$0.87,17.42
2011-10-31,11.38,$0.45,25.35
2011-07-31,11.29,$1.56,7.24
2011-04-30,14.19,$1.03,13.84
2011-01-31,12.67,$1.28,9.91
2010-10-31,11.79,$2.19,5.39
2012-01-31,13.4,$0.70,19.11
2010-07-31,10.78,$1.77,6.09
2010-04-30,11.75,$2.53,4.64
2010-01-31,8.01,$1.88,4.26
2009-10-31,7.58,$1.47,5.14
