Under Armour Price to Free Cash Flow Ratio Historical Data,Under Armour Price to Free Cash Flow Ratio Historical Data,Under Armour Price to Free Cash Flow Ratio Historical Data,Under Armour Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.48,,12.11
2024-06-30,6.67,$0.78,8.52
2024-03-31,7.38,$0.45,16.35
2023-12-31,8.79,$0.53,16.46
2023-09-30,6.85,$-0.27,0.0
2023-06-30,7.22,$-0.62,0.0
2023-03-31,9.49,$-0.43,0.0
2022-12-31,10.16,$-0.93,0.0
2022-09-30,6.65,$-1.63,0.0
2022-06-30,8.33,$-1.16,0.0
2022-03-31,17.02,$-0.77,0.0
2021-12-31,21.19,$-0.35,0.0
2021-09-30,20.18,$1.02,19.82
2021-06-30,21.15,$0.95,22.18
2021-03-31,22.16,$-0.35,0.0
2020-12-31,17.17,$-0.88,0.0
2020-09-30,11.23,$-1.58,0.0
2020-06-30,9.74,$-1.75,0.0
2020-03-31,9.21,$-0.88,0.0
2019-12-31,21.6,$-0.30,0.0
2019-09-30,19.94,$-0.42,0.0
2019-06-30,25.35,$-0.20,0.0
2019-03-31,21.14,$-0.35,0.0
2018-09-30,21.22,$0.50,42.03
2018-06-30,22.48,$0.58,38.77
2018-03-31,16.35,$-0.08,0.0
2017-12-31,14.43,$0.52,27.79
2017-09-30,16.48,$-0.05,0.0
2017-06-30,21.76,$-0.80,0.0
2017-03-31,19.78,$-0.81,0.0
2016-09-30,38.68,$-0.10,0.0
2016-06-30,40.13,$-0.53,0.0
2016-03-31,42.42,$-0.52,0.0
2015-12-31,40.31,$-0.16,0.0
2015-09-30,48.39,$-1.51,0.0
2015-06-30,41.72,$-1.34,0.0
2015-03-31,40.38,$-1.00,0.0
2014-09-30,34.55,$-0.43,0.0
2014-06-30,29.75,$-0.41,0.0
2014-03-31,28.66,$-0.45,0.0
2013-12-31,21.83,$-0.12,0.0
2013-09-30,19.86,$-0.52,0.0
2013-06-30,14.93,$-0.54,0.0
2013-03-31,12.8,$-0.42,0.0
2012-09-30,13.96,$0.17,81.15
2012-06-30,11.81,$-0.04,0.0
2012-03-31,11.75,$-0.20,0.0
2011-12-31,8.97,$-0.24,0.0
2011-09-30,8.3,$-0.58,0.0
2011-06-30,9.66,$-0.45,0.0
2011-03-31,8.51,$-0.24,0.0
2010-12-31,6.86,$-0.05,0.0
2010-09-30,5.63,$-0.21,0.0
2010-06-30,4.14,$-0.11,0.0
2010-03-31,3.68,$-0.05,0.0
2009-12-31,3.41,$-0.03,0.0
2009-09-30,3.48,$-0.00,0.0
2009-06-30,2.8,$-0.04,0.0
2009-03-31,2.05,$-0.03,0.0
2014-12-31,33.95,0,0.0
