AutoZone Price to Free Cash Flow Ratio Historical Data,AutoZone Price to Free Cash Flow Ratio Historical Data,AutoZone Price to Free Cash Flow Ratio Historical Data,AutoZone Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,3181.48,,30.1
2024-05-31,2769.94,$105.69,26.21
2024-02-29,3006.02,$111.08,27.06
2023-11-30,2609.93,$111.64,23.38
2023-08-31,2531.33,$113.66,22.27
2023-05-31,2386.84,$120.28,19.84
2023-02-28,2486.54,$125.94,19.74
2022-11-30,2579.0,$128.39,20.09
2022-08-31,2119.21,$125.25,16.92
2022-05-31,2059.65,$126.89,16.23
2022-02-28,1863.39,$139.14,13.39
2021-11-30,1817.07,$136.43,13.32
2021-08-31,1549.15,$128.37,12.07
2021-05-31,1406.6,$133.55,10.53
2021-02-28,1159.92,$109.75,10.57
2020-11-30,1137.65,$104.15,10.92
2020-08-31,1196.31,$94.39,12.67
2020-05-31,1147.86,$68.99,16.64
2020-02-29,1032.51,$58.95,17.52
2019-11-30,1177.92,$64.94,18.14
2019-08-31,1101.69,$64.28,17.14
2019-05-31,1027.11,$60.08,17.09
2019-02-28,938.97,$61.93,15.16
2018-11-30,809.07,$54.09,14.96
2018-08-31,766.88,$56.81,13.5
2018-05-31,649.32,$47.88,13.56
2018-02-28,664.72,$44.03,15.1
2017-11-30,686.76,$51.28,13.39
2017-08-31,528.44,$46.71,11.31
2017-05-31,605.92,$48.12,12.59
2016-11-30,783.18,$39.91,19.62
2016-08-31,741.8,$37.88,19.58
2016-05-31,762.2,$48.35,15.76
2016-02-29,774.57,$24.45,31.68
2015-11-30,783.77,$33.34,23.51
2015-08-31,715.99,$25.34,28.25
2017-02-28,736.55,$11.88,62.01
2015-05-31,673.62,$27.47,24.53
2015-02-28,642.68,$25.65,25.06
2014-11-30,577.71,$27.51,21.0
2014-08-31,538.84,$26.78,20.12
2014-05-31,532.5,$31.06,17.14
2014-02-28,538.44,$28.48,18.91
2013-11-30,461.6,$29.18,15.82
2013-08-31,419.94,$27.62,15.2
2013-05-31,408.83,$24.60,16.62
2013-02-28,380.15,$22.47,16.92
2012-11-30,383.77,$20.97,18.3
2012-08-31,361.64,$21.51,16.81
2012-05-31,380.26,$20.61,18.45
2012-02-29,374.48,$23.09,16.22
2011-11-30,328.38,$22.37,14.68
2011-08-31,307.0,$22.32,13.75
2011-05-31,294.0,$22.83,12.88
2011-02-28,257.95,$20.82,12.39
2010-11-30,259.41,$21.41,12.11
2010-08-31,209.78,$18.10,11.59
2010-05-31,190.88,$16.44,11.61
2010-02-28,165.93,$15.65,10.6
2009-11-30,147.87,$15.35,9.63
