Teekay Tankers Price to Free Cash Flow Ratio Historical Data,Teekay Tankers Price to Free Cash Flow Ratio Historical Data,Teekay Tankers Price to Free Cash Flow Ratio Historical Data,Teekay Tankers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,55.39,,3.38
2024-06-30,68.5,$16.38,4.18
2024-03-31,56.35,$18.07,3.12
2023-12-31,47.99,$18.50,2.59
2023-09-30,39.79,$18.23,2.18
2023-06-30,36.33,$16.72,2.17
2023-03-31,39.56,$12.13,3.26
2022-12-31,28.39,$7.22,3.93
2022-09-30,25.38,$2.55,9.94
2022-06-30,16.25,$-0.35,0.0
2022-03-31,12.75,$-2.30,0.0
2021-12-31,10.05,$-2.09,0.0
2021-09-30,13.39,$-1.82,0.0
2021-06-30,13.29,$0.62,21.38
2021-03-31,12.81,$6.59,1.94
2020-12-31,10.15,$12.32,0.82
2020-09-30,9.99,$14.68,0.68
2020-06-30,11.81,$13.11,0.9
2020-03-31,20.5,$8.24,2.49
2019-12-31,22.09,$3.74,5.91
2019-09-30,9.58,$1.53,6.27
2019-06-30,9.44,$1.08,8.71
2019-03-31,7.15,$1.18,6.08
2018-12-31,6.84,$-0.37,0.0
2018-09-30,7.28,$0.30,24.45
2018-06-30,8.63,$1.15,7.51
2018-03-31,8.77,$3.15,2.78
2017-12-31,10.07,$5.46,1.84
2017-09-30,11.41,$12.73,0.9
2017-06-30,12.99,$15.15,0.86
2017-03-31,13.95,$7.87,1.77
2016-12-31,15.19,$-21.04,0.0
2016-03-31,23.22,$-25.43,0.0
2015-12-31,42.42,$-41.03,0.0
2015-09-30,42.38,$-35.21,0.0
2015-06-30,40.43,$6.19,6.54
2015-03-31,34.94,$3.19,10.94
2014-12-31,30.65,$17.37,1.76
2014-06-30,25.57,$14.66,1.74
2014-03-31,20.93,$1.82,11.52
2013-12-31,23.06,$2.10,10.97
2013-09-30,15.21,$3.67,4.15
2013-06-30,15.1,$6.03,2.5
2013-03-31,16.19,$5.44,2.98
2016-06-30,19.35,$4.16,4.65
2012-12-31,16.27,$2.52,6.47
2012-09-30,20.82,$-10.40,0.0
2012-06-30,24.74,$2.24,11.05
2012-03-31,31.73,$4.02,7.89
2011-12-31,17.93,$0.13,136.28
2014-09-30,22.4,$14.85,1.51
2011-09-30,22.69,$0.64,35.48
2011-06-30,44.96,$6.45,6.98
2011-03-31,48.72,$9.86,4.94
2010-12-31,56.31,$11.37,4.95
2010-09-30,57.89,$15.88,3.65
2016-09-30,16.78,$17.31,0.97
2010-06-30,48.28,$16.70,2.89
2010-03-31,52.76,$16.18,3.26
2009-12-31,34.9,$24.22,1.44
