Baldwin Insurance Price to Free Cash Flow Ratio Historical Data,Baldwin Insurance Price to Free Cash Flow Ratio Historical Data,Baldwin Insurance Price to Free Cash Flow Ratio Historical Data,Baldwin Insurance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,55.29,,54.04
2024-06-30,35.47,$1.02,34.67
2024-03-31,28.94,$0.66,43.9
2023-12-31,24.02,$0.44,54.45
2023-09-30,23.23,$0.27,85.34
2023-06-30,24.78,$0.24,104.78
2023-03-31,25.46,$-0.64,0.0
2022-12-31,25.14,$-0.43,0.0
2022-09-30,26.35,$-0.34,0.0
2022-06-30,24.15,$-0.56,0.0
2022-03-31,26.83,$0.59,45.29
2021-12-31,36.11,$0.73,49.37
2021-09-30,33.29,$0.86,38.61
2021-06-30,26.65,$0.21,125.71
2021-03-31,27.25,$0.98,27.75
2020-12-31,29.97,$1.15,25.98
2020-09-30,24.91,$1.38,18.06
