Criteo S.A Price to Free Cash Flow Ratio Historical Data,Criteo S.A Price to Free Cash Flow Ratio Historical Data,Criteo S.A Price to Free Cash Flow Ratio Historical Data,Criteo S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.1,,17.84
2024-06-30,37.72,$2.42,15.62
2024-03-31,35.07,$2.11,16.58
2023-12-31,25.32,$2.19,11.58
2023-09-30,29.2,$1.19,24.55
2023-06-30,33.74,$1.47,22.94
2023-03-31,31.51,$1.81,17.45
2022-12-31,26.06,$2.73,9.55
2022-09-30,27.03,$2.15,12.56
2022-06-30,24.4,$2.34,10.44
2022-03-31,27.24,$2.57,10.6
2021-12-31,38.87,$2.58,15.05
2021-09-30,36.65,$2.25,16.28
2021-06-30,45.23,$2.29,19.77
2021-03-31,34.73,$2.20,15.8
2020-12-31,20.51,$1.91,10.74
2020-09-30,12.19,$2.09,5.83
2020-06-30,11.39,$1.75,6.53
2020-03-31,7.95,$2.05,3.88
2019-12-31,17.33,$2.14,8.11
2019-09-30,18.69,$2.26,8.26
2019-06-30,17.21,$1.85,9.28
2019-03-31,20.03,$1.80,11.14
2018-12-31,22.72,$2.12,10.69
2018-09-30,22.94,$1.75,13.11
2018-06-30,32.85,$2.52,13.03
2018-03-31,25.84,$2.65,9.76
2017-12-31,26.03,$1.82,14.33
2017-09-30,41.5,$1.99,20.91
2017-06-30,49.05,$1.81,27.08
2017-03-31,49.99,$1.27,39.32
2016-12-31,41.08,$1.04,39.45
2016-09-30,35.11,$1.23,28.45
2016-06-30,45.92,$0.75,61.25
2016-03-31,41.42,$0.57,72.44
2015-12-31,39.6,$0.95,41.88
2015-09-30,37.54,$0.75,50.34
2015-06-30,47.67,$1.11,43.13
2015-03-31,39.5,$1.40,28.24
2014-12-31,40.42,$1.11,36.46
2014-09-30,33.65,$0.48,69.81
