Prospect Capital Price to Free Cash Flow Ratio Historical Data,Prospect Capital Price to Free Cash Flow Ratio Historical Data,Prospect Capital Price to Free Cash Flow Ratio Historical Data,Prospect Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.28,,11.79
2024-06-30,5.35,$0.45,11.94
2024-03-31,5.16,$-0.08,0.0
2023-12-31,5.43,$0.23,23.5
2023-09-30,5.32,$-0.21,0.0
2023-06-30,5.29,$-0.55,0.0
2023-03-31,5.77,$-0.72,0.0
2022-12-31,5.66,$-1.47,0.0
2022-09-30,4.9,$-2.00,0.0
2022-06-30,5.39,$-1.83,0.0
2022-03-31,6.23,$-1.59,0.0
2021-12-31,6.19,$-0.88,0.0
2021-09-30,5.55,$0.04,127.29
2021-06-30,5.91,$0.08,73.55
2021-03-31,5.29,$0.54,9.71
2020-12-31,3.64,$0.28,12.88
2020-09-30,3.27,$0.57,5.78
2020-06-30,3.21,$1.17,2.75
2020-03-31,2.57,$1.08,2.38
2019-12-31,3.77,$1.95,1.93
2019-09-30,3.75,$1.88,2.0
2019-06-30,3.62,$0.61,5.92
2019-03-31,3.52,$0.77,4.54
2018-12-31,3.31,$-0.58,0.0
2018-09-30,3.82,$0.09,42.34
2018-06-30,3.41,$1.02,3.34
2018-03-31,3.24,$1.55,2.08
2017-12-31,3.24,$2.08,1.56
2017-09-30,3.15,$1.48,2.13
2017-06-30,3.68,$1.05,3.51
2017-03-31,3.98,$0.82,4.86
2016-12-31,3.58,$1.61,2.22
2016-09-30,3.37,$1.59,2.12
2016-06-30,3.16,$2.42,1.3
2016-03-31,2.84,$2.18,1.3
2015-12-31,2.63,$1.37,1.91
2015-09-30,2.59,$0.53,4.9
2015-06-30,2.59,$0.13,20.14
2015-03-31,2.88,$-1.10,0.0
2014-12-31,2.72,$-4.23,0.0
2014-09-30,3.15,$-4.54,0.0
2014-06-30,3.27,$-5.75,0.0
2014-03-31,3.22,$-7.30,0.0
2013-12-31,3.25,$-4.59,0.0
2013-09-30,3.14,$-6.52,0.0
2013-06-30,2.95,$-8.63,0.0
2013-03-31,2.89,$-7.82,0.0
2012-12-31,2.79,$-6.55,0.0
2012-09-30,2.88,$-3.82,0.0
2012-06-30,2.77,$-2.01,0.0
2012-03-31,2.6,$-2.99,0.0
2011-12-31,2.14,$-5.76,0.0
2011-09-30,1.87,$-7.81,0.0
2011-06-30,2.18,$-6.76,0.0
2011-03-31,2.56,$-5.46,0.0
2010-12-31,2.21,$-3.87,0.0
2010-09-30,1.93,$-0.00,0.0
2010-06-30,1.86,$0.92,2.01
2010-03-31,2.31,$0.68,3.41
2009-12-31,2.11,$0.35,6.05
