Costamare Price to Free Cash Flow Ratio Historical Data,Costamare Price to Free Cash Flow Ratio Historical Data,Costamare Price to Free Cash Flow Ratio Historical Data,Costamare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.31,,3.4
2024-06-30,16.3,$4.21,3.87
2024-03-31,11.14,$3.92,2.84
2023-12-31,10.11,$3.92,2.58
2023-09-30,9.23,$4.80,1.92
2023-06-30,9.17,$5.84,1.57
2023-03-31,8.82,$6.55,1.35
2022-12-31,8.6,$6.02,1.43
2022-09-30,8.19,$2.75,2.98
2022-06-30,10.97,$0.46,24.1
2022-03-31,14.88,$-1.76,0.0
2021-12-31,10.94,$-3.27,0.0
2021-09-30,13.29,$-1.95,0.0
2021-06-30,10.02,$-0.51,0.0
2021-03-31,8.08,$0.80,10.14
2020-12-31,6.88,$1.68,4.09
2020-09-30,4.97,$1.64,3.03
2020-06-30,4.46,$1.77,2.51
2020-03-31,3.55,$1.71,2.08
2019-12-31,7.42,$1.81,4.09
2019-09-30,4.66,$1.74,2.68
2019-06-30,3.86,$1.14,3.4
2019-03-31,3.85,$0.43,8.96
2018-12-31,3.19,$0.27,11.71
2018-09-30,4.63,$0.38,12.06
2018-06-30,5.62,$1.04,5.39
2018-03-31,4.33,$1.30,3.33
2017-12-31,3.94,$1.54,2.56
2017-09-30,4.15,$1.87,2.22
2017-06-30,4.84,$2.75,1.76
2017-03-31,4.35,$3.52,1.23
2016-12-31,3.6,$3.86,0.93
2016-09-30,5.79,$3.88,1.49
2016-03-31,5.32,$3.31,1.61
2015-12-31,5.97,$3.29,1.82
2015-09-30,6.89,$3.19,2.16
2015-06-30,10.15,$2.31,4.4
2015-03-31,9.59,$2.53,3.8
2014-12-31,9.43,$2.19,4.3
2016-06-30,4.72,$1.55,3.04
2014-09-30,11.59,$0.98,11.88
2014-06-30,12.16,$-1.50,0.0
2014-03-31,11.07,$-4.20,0.0
2013-12-31,9.27,$-5.91,0.0
2013-09-30,8.81,$-5.68,0.0
2013-06-30,8.48,$-4.51,0.0
2013-03-31,7.69,$-2.40,0.0
2012-12-31,6.62,$-1.01,0.0
2012-09-30,7.18,$-0.01,0.0
2012-06-30,6.36,$0.06,102.18
2012-03-31,6.18,$0.37,16.87
2011-12-31,6.24,$-1.57,0.0
2011-09-30,5.33,$-0.17,0.0
