Bunge Global SA Price to Free Cash Flow Ratio Historical Data,Bunge Global SA Price to Free Cash Flow Ratio Historical Data,Bunge Global SA Price to Free Cash Flow Ratio Historical Data,Bunge Global SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,101.38,,12.87
2024-06-30,106.02,$7.88,13.46
2024-03-31,101.13,$14.73,6.87
2023-12-31,98.86,$14.50,6.82
2023-09-30,105.35,$0.28,380.61
2023-06-30,91.28,$-10.01,0.0
2023-03-31,91.77,$-16.90,0.0
2022-12-31,95.25,$-39.86,0.0
2022-09-30,78.34,$-41.35,0.0
2022-06-30,85.51,$-41.64,0.0
2022-03-31,103.99,$-34.88,0.0
2021-12-31,87.16,$-21.61,0.0
2021-09-30,75.51,$-22.52,0.0
2021-06-30,72.08,$-25.49,0.0
2021-03-31,72.69,$-27.29,0.0
2020-12-31,59.76,$-26.06,0.0
2020-09-30,41.29,$-13.34,0.0
2020-06-30,36.76,$-11.28,0.0
2020-03-31,36.15,$-9.21,0.0
2019-12-31,50.25,$-9.41,0.0
2019-09-30,49.0,$-0.31,0.0
2019-06-30,47.78,$5.36,8.91
2019-03-31,45.09,$-2.74,0.0
2018-12-31,44.97,$-12.40,0.0
2018-09-30,57.33,$-24.91,0.0
2018-06-30,57.71,$-33.73,0.0
2018-03-31,60.81,$-26.44,0.0
2017-12-31,54.84,$-18.67,0.0
2017-09-30,56.39,$-20.94,0.0
2017-06-30,60.2,$-6.91,0.0
2017-03-31,63.57,$-7.45,0.0
2016-12-31,57.59,$-2.10,0.0
2016-09-30,46.92,$-0.78,0.0
2016-06-30,46.56,$-3.42,0.0
2016-03-31,44.33,$-1.63,0.0
2015-12-31,53.02,$-0.17,0.0
2015-09-30,56.6,$1.72,33.0
2015-06-30,67.46,$7.71,8.75
2015-03-31,63.05,$13.48,4.68
2014-12-31,69.3,$3.95,17.53
2014-09-30,63.96,$11.06,5.78
2014-06-30,57.2,$7.65,7.47
2014-03-31,59.89,$0.90,66.25
2013-12-31,61.61,$8.37,7.36
2013-09-30,56.75,$13.73,4.13
2013-06-30,52.7,$3.53,14.94
2013-03-31,54.77,$-7.59,0.0
2012-12-31,53.73,$-10.36,0.0
2012-09-30,49.37,$-16.84,0.0
2012-06-30,46.01,$-8.82,0.0
2012-03-31,49.98,$3.53,14.17
2011-12-31,41.61,$10.50,3.96
2011-09-30,42.24,$-3.95,0.0
2011-06-30,49.76,$-19.15,0.0
2011-03-31,52.04,$2.05,25.35
2010-12-31,46.99,$2.03,23.16
2010-09-30,42.26,$8.34,5.07
2010-06-30,34.99,$25.40,1.38
2010-03-31,43.66,$-2.54,0.0
2009-12-31,45.06,$-9.79,0.0
