QuinStreet Price to Free Cash Flow Ratio Historical Data,QuinStreet Price to Free Cash Flow Ratio Historical Data,QuinStreet Price to Free Cash Flow Ratio Historical Data,QuinStreet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.23,,157.88
2024-06-30,16.59,$0.12,136.21
2024-03-31,17.66,$0.16,112.7
2023-12-31,12.82,$-0.08,0.0
2023-09-30,8.97,$-0.06,0.0
2023-06-30,8.83,$0.16,54.14
2023-03-31,15.87,$-0.01,0.0
2022-12-31,14.35,$0.16,91.28
2022-09-30,10.5,$0.48,22.02
2022-06-30,10.06,$0.48,21.17
2022-03-31,11.6,$0.59,19.62
2021-12-31,18.19,$0.83,21.9
2021-09-30,17.56,$0.66,26.5
2021-06-30,18.58,$0.88,21.06
2021-03-31,20.3,$0.86,23.66
2020-12-31,21.44,$0.91,23.58
2020-09-30,15.84,$1.00,15.81
2020-06-30,10.46,$0.86,12.23
2020-03-31,8.05,$0.77,10.4
2019-12-31,15.31,$0.61,25.23
2019-09-30,12.59,$0.66,19.01
2019-06-30,15.85,$0.68,23.23
2019-03-31,13.39,$0.77,17.41
2018-12-31,16.23,$0.76,21.34
2018-09-30,13.57,$0.67,20.24
2018-06-30,12.7,$0.53,24.02
2018-03-31,12.77,$0.51,24.92
2017-12-31,8.38,$0.54,15.56
2017-09-30,7.35,$0.41,17.9
2017-06-30,4.17,$0.38,10.94
2017-03-31,3.9,$0.16,24.71
2016-12-31,3.76,$-0.05,0.0
2016-09-30,3.02,$-0.00,0.0
2016-06-30,3.55,$-0.00,0.0
2016-03-31,3.42,$0.09,38.78
2015-09-30,5.55,$0.27,20.76
2015-06-30,6.45,$0.14,46.57
2015-03-31,5.95,$0.56,10.55
2014-12-31,6.07,$0.15,40.17
2014-09-30,4.15,$0.10,41.75
2014-06-30,5.51,$0.25,22.45
2015-12-31,4.29,$-0.13,0.0
2014-03-31,6.64,$0.65,10.23
2013-12-31,8.69,$0.81,10.77
2013-09-30,9.44,$0.98,9.64
2013-06-30,8.63,$1.15,7.49
2013-03-31,5.97,$0.75,7.93
2012-12-31,6.72,$0.94,7.18
2012-09-30,8.39,$0.97,8.61
2012-06-30,9.26,$0.94,9.84
2012-03-31,10.49,$1.29,8.11
2011-12-31,9.36,$1.43,6.55
2011-09-30,10.35,$1.52,6.83
2011-06-30,12.98,$1.48,8.76
2011-03-31,22.73,$1.51,15.07
2010-12-31,19.21,$1.80,10.65
