AnaptysBio Price to Free Cash Flow Ratio Historical Data,AnaptysBio Price to Free Cash Flow Ratio Historical Data,AnaptysBio Price to Free Cash Flow Ratio Historical Data,AnaptysBio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.18,,0.0
2024-06-30,25.06,$-4.77,0.0
2024-03-31,22.52,$-5.02,0.0
2023-12-31,21.42,$-4.52,0.0
2023-09-30,17.96,$-3.67,0.0
2023-06-30,20.34,$-2.91,0.0
2023-03-31,21.76,$-2.75,0.0
2022-12-31,30.99,$-2.63,0.0
2022-09-30,25.51,$-3.15,0.0
2022-06-30,20.3,$-2.79,0.0
2022-03-31,24.74,$-1.62,0.0
2021-12-31,34.75,$-1.72,0.0
2021-09-30,27.12,$0.56,48.11
2021-06-30,25.93,$0.20,129.91
2021-03-31,21.55,$-0.84,0.0
2020-12-31,21.5,$-0.54,0.0
2020-09-30,14.75,$-2.49,0.0
2020-06-30,22.34,$-2.69,0.0
2020-03-31,14.13,$-2.55,0.0
2019-12-31,16.25,$-2.60,0.0
2019-09-30,34.99,$-2.48,0.0
2019-06-30,56.42,$-2.28,0.0
2019-03-31,73.05,$-2.08,0.0
2018-12-31,63.79,$-2.01,0.0
2018-09-30,99.77,$-1.81,0.0
2018-06-30,71.04,$-1.37,0.0
2018-03-31,104.08,$-1.00,0.0
2017-12-31,100.72,$-1.00,0.0
