IDEX Price to Free Cash Flow Ratio Historical Data,IDEX Price to Free Cash Flow Ratio Historical Data,IDEX Price to Free Cash Flow Ratio Historical Data,IDEX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,206.48,,20.63
2024-06-30,200.52,$10.01,20.03
2024-03-31,242.45,$10.06,24.11
2023-12-31,215.05,$10.18,21.12
2023-09-30,205.41,$10.14,20.26
2023-03-31,226.74,$7.12,31.85
2022-12-31,223.53,$6.44,34.71
2022-09-30,195.07,$7.79,25.05
2022-06-30,176.7,$3.98,44.45
2022-03-31,185.93,$4.55,40.88
2021-12-31,228.62,$5.20,43.93
2023-06-30,211.92,$3.17,66.77
2021-09-30,199.7,$6.56,30.44
2021-06-30,211.83,$6.50,32.61
2021-03-31,201.01,$7.08,28.4
2020-12-31,190.82,$6.78,28.16
2020-09-30,174.27,$6.66,26.15
2020-06-30,150.54,$6.78,22.19
2020-03-31,131.12,$6.18,21.22
2019-12-31,162.82,$6.24,26.1
2019-09-30,154.65,$6.23,24.81
2019-06-30,161.96,$5.81,27.89
2019-03-31,142.31,$5.67,25.1
2018-12-31,118.03,$5.46,21.61
2018-09-30,140.4,$5.26,26.7
2018-06-30,126.79,$5.33,23.77
2018-03-31,131.98,$4.93,26.78
2017-12-31,121.89,$5.11,23.87
2017-09-30,111.86,$4.92,22.75
2017-06-30,103.73,$4.84,21.42
2017-03-31,85.53,$4.88,17.52
2016-12-31,82.07,$4.71,17.42
2016-09-30,84.93,$4.45,19.11
2016-06-30,74.23,$4.33,17.15
2016-03-31,74.63,$4.38,17.05
2015-12-31,68.67,$4.07,16.87
2015-09-30,63.63,$4.04,15.74
2015-06-30,69.85,$3.81,18.32
2015-03-31,67.12,$3.70,18.12
2014-12-31,68.63,$3.98,17.24
2014-09-30,63.55,$4.02,15.83
2014-06-30,70.65,$4.25,16.62
2014-03-31,63.53,$4.49,14.14
2013-12-31,64.17,$4.49,14.28
2013-09-30,56.49,$4.29,13.17
2013-06-30,46.41,$4.04,11.49
2013-03-31,45.86,$3.65,12.57
2012-12-31,39.78,$3.47,11.46
2012-09-30,35.53,$2.96,12.0
2012-06-30,32.98,$2.87,11.48
2012-03-31,35.47,$2.72,13.06
2011-12-31,31.11,$2.33,13.35
2011-09-30,25.99,$2.19,11.89
2011-06-30,38.1,$1.81,21.05
2011-03-31,36.13,$1.84,19.6
2010-12-31,32.26,$1.87,17.23
2010-09-30,29.16,$2.20,13.24
2010-06-30,23.35,$2.52,9.28
2010-03-31,26.93,$2.43,11.09
2009-12-31,25.25,$2.37,10.67
