PLDT Price to Free Cash Flow Ratio Historical Data,PLDT Price to Free Cash Flow Ratio Historical Data,PLDT Price to Free Cash Flow Ratio Historical Data,PLDT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.14,,5.98
2024-06-30,23.82,$4.37,5.45
2024-03-31,23.92,$2.44,9.8
2023-12-31,21.99,$2.79,7.88
2023-09-30,19.39,$2.47,7.86
2023-06-30,21.1,$0.88,24.01
2023-03-31,21.8,$4.95,4.41
2022-12-31,19.69,$3.68,5.35
2022-09-30,21.85,$2.71,8.05
2022-06-30,25.18,$2.60,9.68
2022-03-31,29.08,$-0.97,0.0
2021-12-31,28.87,$-0.87,0.0
2021-09-30,26.32,$-0.36,0.0
2021-06-30,20.53,$1.01,20.32
2021-03-31,20.44,$1.12,18.24
2020-12-31,21.17,$1.35,15.72
2020-09-30,20.51,$0.57,35.79
2020-06-30,18.01,$-0.76,0.0
2020-03-31,15.17,$0.78,19.45
2019-09-30,15.61,$0.21,75.1
2019-03-31,14.88,$0.74,20.24
2018-12-31,14.68,$1.25,11.75
2018-09-30,17.65,$0.56,31.73
2018-06-30,15.66,$1.32,11.84
2018-03-31,18.65,$0.90,20.75
2017-12-31,19.77,$1.83,10.8
2017-09-30,20.98,$1.55,13.53
2017-06-30,22.58,$1.53,14.71
2017-03-31,20.56,$1.66,12.39
2016-12-31,17.29,$0.84,20.57
2016-09-30,22.39,$1.17,19.06
2016-06-30,27.26,$0.25,108.12
2016-03-31,26.49,$1.85,14.31
2015-12-31,25.28,$2.79,9.06
2015-09-30,27.29,$2.48,10.98
2015-06-30,35.86,$0.69,52.05
2015-03-31,35.97,$-0.20,0.0
2014-12-31,35.39,0,0.0
2014-09-30,38.57,0,0.0
2014-06-30,36.92,$-0.53,0.0
2014-03-31,33.43,$0.28,118.14
2013-12-31,31.56,0,0.0
2013-09-30,35.63,$-4.02,0.0
2013-06-30,34.8,$0.09,402.79
2013-03-31,36.38,$-0.44,0.0
2012-12-31,30.24,0,0.0
2012-09-30,32.56,$5.07,6.42
2012-06-30,30.67,$5.54,5.53
2012-03-31,29.99,$5.68,5.28
2011-12-31,26.67,$6.11,4.37
2011-09-30,22.93,$6.48,3.54
2011-06-30,24.21,$6.70,3.62
2011-03-31,23.97,$6.30,3.81
2010-12-31,24.47,$5.81,4.21
2010-09-30,25.13,$5.43,4.63
2010-06-30,20.73,$5.35,3.87
2010-03-31,21.67,$5.79,3.74
2009-12-31,21.85,$5.35,4.08
