Ionis Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Ionis Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Ionis Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Ionis Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.49,,0.0
2024-06-30,47.66,$-0.91,0.0
2023-12-31,50.59,$-2.31,0.0
2023-09-30,45.36,$-1.74,0.0
2023-06-30,41.03,$-2.03,0.0
2023-03-31,35.74,$-1.48,0.0
2022-12-31,37.77,$-0.62,0.0
2024-03-31,43.35,$-1.67,0.0
2022-09-30,44.23,$0.82,53.85
2022-06-30,37.02,$0.62,60.11
2022-03-31,37.04,$0.29,126.89
2021-12-31,30.43,$0.13,227.77
2021-09-30,33.54,$-0.63,0.0
2021-06-30,39.89,$-0.37,0.0
2021-03-31,44.96,$-0.28,0.0
2020-12-31,56.54,$0.01,0.0
2020-09-30,47.45,$1.08,43.75
2020-06-30,58.96,$1.03,57.26
2020-03-31,47.28,$1.20,39.5
2019-12-31,60.41,$2.05,29.4
2019-09-30,59.91,$1.25,48.02
2019-06-30,64.27,$1.00,64.28
2019-03-31,81.17,$5.05,16.08
2018-12-31,54.06,$4.40,12.3
2018-09-30,51.58,$3.54,14.56
2018-06-30,41.67,$4.09,10.18
2018-03-31,44.08,$0.24,186.7
2017-12-31,50.3,$1.11,45.5
2017-09-30,50.7,$0.76,66.41
2017-06-30,50.87,$0.88,57.79
2017-03-31,40.2,$0.60,66.63
2016-12-31,47.83,$-0.99,0.0
2016-09-30,36.64,$-0.61,0.0
