Curtiss-Wright Price to Free Cash Flow Ratio Historical Data,Curtiss-Wright Price to Free Cash Flow Ratio Historical Data,Curtiss-Wright Price to Free Cash Flow Ratio Historical Data,Curtiss-Wright Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,362.91,,30.52
2024-06-30,270.81,$11.89,22.77
2024-03-31,255.58,$11.86,21.55
2023-12-31,222.3,$10.71,20.76
2023-09-30,195.01,$10.82,18.02
2023-06-30,182.9,$9.57,19.11
2023-03-31,175.33,$7.60,23.08
2022-12-31,165.93,$6.89,24.07
2022-09-30,138.13,$4.98,27.73
2022-06-30,130.9,$5.06,25.86
2022-03-31,148.62,$6.11,24.31
2021-12-31,137.08,$8.64,15.88
2021-09-30,124.57,$9.08,13.71
2021-06-30,117.08,$7.87,14.88
2021-03-31,116.75,$9.22,12.66
2020-12-31,114.37,$5.16,22.18
2020-09-30,91.55,$5.03,18.19
2020-06-30,87.48,$6.27,13.96
2020-03-31,90.38,$5.20,17.36
2019-12-31,137.53,$8.53,16.13
2019-09-30,125.96,$7.69,16.39
2019-06-30,123.78,$6.71,18.46
2019-03-31,110.2,$6.80,16.22
2018-12-31,99.15,$6.59,15.05
2018-09-30,133.28,$6.44,20.7
2018-06-30,115.44,$7.06,16.35
2018-03-31,130.84,$6.67,19.63
2017-12-31,117.9,$7.66,15.4
2017-09-30,100.89,$5.95,16.97
2017-06-30,88.57,$6.16,14.38
2017-03-31,87.95,$6.29,13.98
2016-12-31,94.65,$8.44,11.22
2016-09-30,87.44,$8.66,10.1
2016-06-30,80.86,$8.45,9.57
2016-03-31,72.51,$7.76,9.35
2015-12-31,65.53,$2.71,24.14
2015-09-30,59.6,$2.82,21.14
2015-06-30,69.03,$1.80,38.32
2015-03-31,70.34,$2.39,29.47
2014-12-31,67.03,$5.40,12.4
2014-09-30,62.35,$3.88,16.05
2014-06-30,62.01,$3.85,16.1
2014-03-31,59.98,$3.15,19.05
2013-12-31,58.63,$3.48,16.83
2013-09-30,44.06,$3.17,13.91
2013-06-30,34.77,$2.61,13.33
2013-03-31,32.47,$1.72,18.92
2012-12-31,30.64,$1.52,20.15
2012-09-30,30.34,$2.65,11.43
2012-06-30,28.81,$2.56,11.26
2012-03-31,34.24,$3.35,10.23
2011-12-31,32.62,$2.55,12.78
2011-09-30,26.48,$2.46,10.76
2011-06-30,29.73,$2.53,11.73
2011-03-31,32.19,$1.98,16.22
2010-12-31,30.34,$2.58,11.76
2010-09-30,27.55,$2.22,12.4
2010-06-30,26.4,$2.37,11.12
2010-03-31,31.55,$3.10,10.19
2009-12-31,28.33,$2.73,10.38
