Terex Price to Free Cash Flow Ratio Historical Data,Terex Price to Free Cash Flow Ratio Historical Data,Terex Price to Free Cash Flow Ratio Historical Data,Terex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.35,,17.95
2024-06-30,54.67,$3.14,17.42
2024-03-31,64.2,$4.50,14.26
2023-12-31,57.12,$5.35,10.67
2023-09-30,57.07,$5.20,10.98
2023-06-30,59.09,$4.41,13.4
2023-03-31,47.64,$-1.30,0.0
2022-12-31,41.96,$-1.94,0.0
2022-09-30,29.12,$-3.09,0.0
2022-06-30,26.71,$-2.26,0.0
2021-12-31,42.58,$3.32,12.81
2021-09-30,40.69,$7.43,5.48
2021-06-30,45.93,$5.76,7.98
2021-03-31,44.33,$5.11,8.67
2020-12-31,33.48,$4.44,7.53
2022-03-31,34.68,$-0.47,0.0
2020-09-30,18.58,$1.44,12.86
2020-06-30,18.01,$1.70,10.59
2020-03-31,13.78,$3.19,4.31
2019-12-31,28.4,$0.96,29.64
2019-09-30,24.67,$1.05,23.51
2019-06-30,29.71,$-1.06,0.0
2019-03-31,30.28,$-2.97,0.0
2018-12-31,25.9,$-0.09,0.0
2018-09-30,37.37,$-7.72,0.0
2018-06-30,39.4,$-3.33,0.0
2018-03-31,34.85,$-0.73,0.0
2017-12-31,44.81,$1.37,32.79
2017-09-30,41.76,$10.52,3.97
2017-06-30,34.72,$8.41,4.13
2017-03-31,29.0,$5.87,4.94
2016-12-31,29.05,$3.44,8.44
2016-09-30,23.34,$3.26,7.16
2016-06-30,18.6,$1.92,9.67
2016-03-31,22.71,$1.15,19.72
2015-12-31,16.81,$1.16,14.51
2015-09-30,16.28,$1.63,9.96
2015-06-30,21.04,$2.21,9.54
2015-03-31,24.0,$1.98,12.13
2014-12-31,25.11,$3.32,7.56
2014-09-30,28.56,$0.53,53.73
2014-06-30,36.89,$0.07,518.18
2014-03-31,39.72,$1.04,38.28
2013-12-31,37.6,$1.30,28.98
2013-09-30,30.05,$2.41,12.48
2013-06-30,23.52,$3.30,7.14
2013-03-31,30.78,$3.29,9.35
2012-12-31,25.14,$2.15,11.72
2012-09-30,20.2,$-2.82,0.0
2012-06-30,15.95,$-0.92,0.0
2012-03-31,20.12,$-2.00,0.0
2011-12-31,12.08,$-0.51,0.0
2011-09-30,9.18,$1.87,4.91
2011-06-30,25.45,$-3.31,0.0
2011-03-31,33.13,$-4.56,0.0
2010-12-31,27.76,$-6.03,0.0
2010-09-30,20.5,$-5.10,0.0
2010-06-30,16.76,$-2.43,0.0
2010-03-31,20.31,$-0.43,0.0
2009-12-31,17.72,$-0.83,0.0
