Hayward Holdings Price to Free Cash Flow Ratio Historical Data,Hayward Holdings Price to Free Cash Flow Ratio Historical Data,Hayward Holdings Price to Free Cash Flow Ratio Historical Data,Hayward Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.65,,17.11
2024-06-30,12.3,$0.91,13.45
2024-03-31,15.31,$0.76,20.06
2023-12-31,13.6,$0.70,19.47
2023-09-30,14.1,$0.71,19.73
2023-06-30,12.85,$0.85,15.11
2023-03-31,11.72,$0.20,58.72
2022-12-31,9.4,$0.38,25.01
2022-09-30,8.87,$0.62,14.4
2022-06-30,14.39,$0.56,25.8
2022-03-31,16.62,$2.93,5.68
2021-12-31,26.23,$0.81,32.24
