Alarm Holdings Price to Free Cash Flow Ratio Historical Data,Alarm Holdings Price to Free Cash Flow Ratio Historical Data,Alarm Holdings Price to Free Cash Flow Ratio Historical Data,Alarm Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,53.9,,18.12
2024-06-30,63.54,$2.98,21.36
2024-03-31,72.47,$3.19,22.73
2023-12-31,64.62,$2.23,28.98
2023-09-30,61.14,$2.16,28.31
2023-06-30,51.68,$1.21,42.75
2023-03-31,50.28,$0.69,72.74
2022-12-31,49.48,$0.51,96.17
2022-09-30,64.86,$0.15,419.53
2022-06-30,61.86,$0.70,88.31
2022-03-31,66.46,$1.07,62.36
2021-12-31,84.81,$1.69,50.19
2021-09-30,78.19,$2.02,38.7
2021-06-30,84.7,$1.61,52.63
2021-03-31,86.38,$1.84,47.07
2020-12-31,103.45,$1.69,61.35
2020-09-30,55.25,$1.39,39.8
2020-06-30,64.81,$1.02,63.46
2020-03-31,38.91,$0.82,47.56
2019-12-31,42.97,$0.55,77.75
2019-09-30,46.64,$0.73,64.22
2019-06-30,53.5,$1.16,46.2
2019-03-31,64.9,$0.91,71.49
2018-12-31,51.87,$1.00,51.86
2018-09-30,57.4,$0.86,66.74
2018-06-30,40.38,$0.75,54.16
2018-03-31,37.74,$0.75,50.44
2017-12-31,37.75,$0.95,39.72
2017-09-30,45.18,$0.80,56.63
2017-06-30,37.63,$0.60,62.71
2017-03-31,30.74,$0.39,77.94
2016-12-31,27.83,$0.28,98.37
2016-09-30,28.86,$0.53,54.2
2016-06-30,25.63,$-1.30,0.0
2016-03-31,23.7,$0.83,28.44
