Lindsay Price to Free Cash Flow Ratio Historical Data,Lindsay Price to Free Cash Flow Ratio Historical Data,Lindsay Price to Free Cash Flow Ratio Historical Data,Lindsay Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,118.36,,17.65
2024-05-31,114.48,$6.71,17.07
2024-02-29,118.6,$8.46,14.01
2023-11-30,118.28,$10.39,11.38
2023-08-31,122.68,$9.12,13.45
2023-05-31,116.12,$6.39,18.18
2023-02-28,147.91,$2.81,52.7
2022-11-30,173.1,$1.41,122.51
2022-08-31,156.96,$-1.14,0.0
2022-05-31,123.07,$-2.52,0.0
2022-02-28,127.83,$-1.80,0.0
2021-11-30,141.41,$-1.78,0.0
2021-08-31,159.76,$1.59,100.53
2021-05-31,159.34,$2.30,69.36
2021-02-28,154.79,$2.10,73.78
2020-11-30,111.65,$3.42,32.67
2020-08-31,96.07,$2.26,42.43
2020-05-31,90.02,$2.59,34.74
2020-02-29,94.57,$2.65,35.62
2019-11-30,85.91,$-4.18,0.0
2019-08-31,83.75,$-1.91,0.0
2019-05-31,75.06,$-2.42,0.0
2019-02-28,87.09,$-4.13,0.0
2018-08-31,89.6,$2.12,42.19
2018-05-31,91.77,$4.83,19.0
2018-02-28,82.2,$1.60,51.52
2017-11-30,86.93,$3.30,26.3
2017-08-31,79.93,$3.94,20.31
2018-11-30,94.94,$-0.15,0.0
2017-05-31,78.57,$2.73,28.78
2017-02-28,73.43,$3.71,19.78
2016-11-30,77.0,$2.27,33.89
2016-08-31,65.5,$1.98,33.1
2016-05-31,64.67,$1.76,36.66
2016-02-29,65.37,$1.00,65.36
2015-11-30,62.74,$3.04,20.62
2015-08-31,68.28,$2.87,23.77
2015-05-31,71.9,$3.31,21.75
2015-02-28,77.91,$4.41,17.68
2014-11-30,77.98,$5.64,13.82
2014-08-31,68.76,$5.75,11.96
2014-05-31,74.26,$5.57,13.33
2014-02-28,74.53,$4.07,18.32
2013-11-30,66.9,$3.00,22.33
2013-08-31,66.47,$3.59,18.49
2013-05-31,70.92,$4.42,16.04
2013-02-28,74.48,$4.93,15.1
2012-11-30,68.84,$3.93,17.54
2012-08-31,56.8,$3.33,17.05
2012-05-31,48.28,$2.36,20.43
2012-02-29,56.82,$2.79,20.37
2011-11-30,48.87,$2.96,16.52
2011-08-31,53.72,$2.74,19.63
2011-05-31,57.85,$2.39,24.21
2011-02-28,60.81,$0.68,89.05
2010-11-30,50.78,$0.89,57.19
2010-08-31,31.66,$1.48,21.36
2010-05-31,29.27,$3.22,9.09
2010-02-28,31.46,$5.12,6.15
2009-11-30,29.93,$4.43,6.76
