Amalgamated Financial Price to Free Cash Flow Ratio Historical Data,Amalgamated Financial Price to Free Cash Flow Ratio Historical Data,Amalgamated Financial Price to Free Cash Flow Ratio Historical Data,Amalgamated Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.79,,9.46
2024-06-30,27.4,$3.68,7.45
2024-03-31,24.0,$3.65,6.57
2023-12-31,26.94,$3.76,7.17
2023-09-30,17.22,$4.97,3.46
2023-06-30,16.09,$4.51,3.57
2023-03-31,17.69,$5.27,3.36
2022-12-31,23.04,$4.67,4.93
2022-09-30,22.55,$3.52,6.4
2022-06-30,19.7,$3.59,5.49
2022-03-31,17.82,$2.32,7.68
2021-12-31,16.55,$2.16,7.66
2021-09-30,15.55,$3.09,5.03
2021-06-30,15.28,$2.25,6.8
2021-03-31,16.14,$1.89,8.55
2020-12-31,13.3,$2.05,6.47
2020-09-30,10.18,$3.17,3.22
2020-06-30,12.08,$3.11,3.88
2020-03-31,10.25,$3.10,3.31
2019-12-31,18.34,$2.57,7.12
2019-06-30,16.32,$-1.67,0.0
2019-03-31,14.59,0,0.0
