Medpace Holdings Price to Free Cash Flow Ratio Historical Data,Medpace Holdings Price to Free Cash Flow Ratio Historical Data,Medpace Holdings Price to Free Cash Flow Ratio Historical Data,Medpace Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,342.89,,21.85
2024-06-30,411.85,$15.69,26.25
2024-03-31,404.15,$14.86,27.19
2023-12-31,306.53,$12.46,24.6
2023-09-30,242.13,$11.37,21.29
2023-06-30,240.17,$11.38,21.11
2023-03-31,188.05,$11.61,16.2
2022-12-31,212.41,$10.43,20.37
2022-09-30,157.17,$8.55,18.37
2022-06-30,149.67,$7.02,21.33
2022-03-31,163.59,$5.91,27.69
2021-12-31,217.64,$6.24,34.9
2021-09-30,189.28,$7.21,26.24
2021-06-30,176.63,$6.78,26.06
2021-03-31,164.05,$6.23,26.34
2020-12-31,139.2,$6.03,23.09
2020-09-30,111.75,$4.82,23.19
2020-06-30,93.02,$5.00,18.59
2020-03-31,73.38,$5.20,14.12
2019-12-31,84.06,$4.90,17.17
2019-09-30,84.04,$4.50,18.67
2019-06-30,65.42,$4.31,15.18
2019-03-31,58.97,$4.12,14.31
2018-12-31,52.93,$3.81,13.9
2018-09-30,59.91,$3.43,17.46
2018-06-30,43.0,$3.07,14.03
2018-03-31,34.91,$2.80,12.46
2017-12-31,36.26,$2.15,16.86
2017-09-30,31.9,$2.23,14.3
2017-06-30,29.0,$2.73,10.61
