Nicolet Bankshares Price to Free Cash Flow Ratio Historical Data,Nicolet Bankshares Price to Free Cash Flow Ratio Historical Data,Nicolet Bankshares Price to Free Cash Flow Ratio Historical Data,Nicolet Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,104.99,,13.38
2024-06-30,82.8,$7.85,10.55
2024-03-31,85.75,$7.37,11.64
2023-12-31,80.01,$6.76,11.83
2023-09-30,69.14,$5.73,12.07
2023-06-30,67.06,$6.85,9.79
2023-03-31,62.01,$7.50,8.27
2022-12-31,78.48,$8.23,9.54
2022-09-30,69.28,$9.78,7.08
2022-06-30,71.15,$7.77,9.16
2022-03-31,92.03,$5.64,16.32
2021-12-31,84.34,$7.86,10.73
2021-09-30,72.96,$5.60,13.02
2021-06-30,69.18,$9.09,7.61
2021-03-31,82.09,$9.45,8.68
2020-12-31,65.26,$6.49,10.05
2020-09-30,53.71,$7.27,7.39
2020-06-30,53.9,$5.15,10.46
2020-03-31,53.68,$5.33,10.07
2019-12-31,72.63,$5.48,13.27
2019-09-30,65.47,$4.45,14.71
2019-06-30,61.04,$4.70,12.98
2019-03-31,58.62,$5.04,11.63
2018-12-31,48.0,$4.98,9.64
2018-09-30,53.61,$5.39,9.94
2018-06-30,54.2,$4.63,11.7
2018-03-31,54.16,$3.35,16.17
2017-12-31,53.84,$4.06,13.26
2017-09-30,56.58,$4.55,12.45
2017-06-30,53.81,$4.01,13.43
2017-03-31,46.56,$4.23,11.0
2016-12-31,46.91,$3.03,15.49
