A-Mark Precious Metals Price to Free Cash Flow Ratio Historical Data,A-Mark Precious Metals Price to Free Cash Flow Ratio Historical Data,A-Mark Precious Metals Price to Free Cash Flow Ratio Historical Data,A-Mark Precious Metals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.62,,19.15
2024-06-30,32.04,$2.23,14.4
2024-03-31,30.22,$-4.16,0.0
2023-12-31,29.58,$-3.74,0.0
2023-09-30,28.49,$-14.60,0.0
2023-06-30,35.18,$-1.42,0.0
2023-03-31,32.38,$1.03,31.58
2022-12-31,32.29,$-7.37,0.0
2022-09-30,26.22,$10.44,2.51
2022-06-30,28.79,$-3.78,0.0
2022-03-31,34.52,$2.81,12.3
2021-12-31,27.27,$11.99,2.27
2021-09-30,26.79,$0.61,44.13
2021-06-30,20.06,$-3.05,0.0
2021-03-31,15.53,$-4.69,0.0
2020-12-31,11.06,$-13.24,0.0
2020-09-30,13.86,$1.15,12.06
2020-06-30,7.5,$3.33,2.26
2020-03-31,4.84,$-3.50,0.0
2019-12-31,3.26,$1.28,2.55
2019-09-30,4.75,$-4.74,0.0
2019-06-30,5.14,$-1.06,0.0
2019-03-31,4.69,$0.91,5.17
2018-12-31,4.64,$2.01,2.31
2018-09-30,5.13,$2.15,2.39
2018-06-30,5.23,$0.45,11.62
2018-03-31,4.82,$7.60,0.63
2017-12-31,5.73,$-0.48,0.0
2017-09-30,6.42,$-0.73,0.0
2017-06-30,6.34,$-0.85,0.0
2017-03-31,6.58,$-5.79,0.0
2016-12-31,7.48,$-3.07,0.0
2016-09-30,6.13,$-2.72,0.0
2016-06-30,6.16,$-4.05,0.0
2016-03-31,7.57,$-5.43,0.0
2015-12-31,7.14,$3.06,2.33
2015-09-30,4.37,$-4.72,0.0
2015-06-30,3.94,$-0.45,0.0
2015-03-31,3.97,$0.64,6.22
2014-12-31,3.71,$-6.88,0.0
